EloGroup,ECO,Count,Proportion
1000-1499,A00,282,0.09209666884389288
1000-1499,C41,202,0.0659699542782495
1000-1499,D00,191,0.06237753102547355
1000-1499,C20,168,0.054866100587851074
1000-1499,A40,146,0.04768125408229915
1000-1499,D02,139,0.04539516655780536
1000-1499,C00,113,0.03690398432397126
1000-1499,B01,109,0.03559764859568909
1000-1499,B00,108,0.03527106466361855
1000-1499,B07,98,0.03200522534291313
1000-1499,C50,79,0.025800130633572827
1000-1499,C44,71,0.023187459177008492
1000-1499,C40,70,0.022860875244937948
1000-1499,C23,65,0.021227955584585238
1000-1499,B20,64,0.020901371652514697
1000-1499,B06,54,0.017635532331809273
1000-1499,C42,53,0.017308948399738733
1000-1499,A45,43,0.014043109079033311
1000-1499,A04,39,0.012736773350751143
1000-1499,C21,39,0.012736773350751143
1000-1499,C30,37,0.012083605486610059
1000-1499,C02,31,0.010124101894186806
1000-1499,C60,30,0.009797517962116264
1000-1499,D06,29,0.009470934030045721
1000-1499,D20,29,0.009470934030045721
1000-1499,C25,28,0.009144350097975179
1000-1499,A01,25,0.008164598301763554
1000-1499,A41,24,0.007838014369693011
1000-1499,C47,23,0.007511430437622469
1000-1499,B40,22,0.007184846505551927
1000-1499,C64,22,0.007184846505551927
1000-1499,B10,21,0.006858262573481384
1000-1499,C26,21,0.006858262573481384
1000-1499,B30,20,0.006531678641410843
1000-1499,C45,20,0.006531678641410843
1000-1499,D04,20,0.006531678641410843
1000-1499,D31,19,0.0062050947093403004
1000-1499,A02,17,0.005551926845199217
1000-1499,A20,16,0.005225342913128674
1000-1499,B22,16,0.005225342913128674
1000-1499,C62,16,0.005225342913128674
1000-1499,A46,15,0.004898758981058132
1000-1499,C24,15,0.004898758981058132
1000-1499,C34,15,0.004898758981058132
1000-1499,C65,15,0.004898758981058132
1000-1499,A10,14,0.0045721750489875895
1000-1499,C22,14,0.0045721750489875895
1000-1499,C46,14,0.0045721750489875895
1000-1499,C55,14,0.0045721750489875895
1000-1499,A43,13,0.004245591116917048
1000-1499,A06,12,0.003919007184846506
1000-1499,B02,12,0.003919007184846506
1000-1499,B12,12,0.003919007184846506
1000-1499,B50,12,0.003919007184846506
1000-1499,C57,11,0.0035924232527759633
1000-1499,C68,11,0.0035924232527759633
1000-1499,D30,11,0.0035924232527759633
1000-1499,A03,10,0.0032658393207054214
1000-1499,C61,10,0.0032658393207054214
1000-1499,B21,9,0.002939255388634879
1000-1499,B51,8,0.002612671456564337
1000-1499,C01,8,0.002612671456564337
1000-1499,C43,8,0.002612671456564337
1000-1499,C77,8,0.002612671456564337
1000-1499,D10,8,0.002612671456564337
1000-1499,A48,7,0.0022860875244937948
1000-1499,C28,6,0.001959503592423253
1000-1499,C48,6,0.001959503592423253
1000-1499,C58,6,0.001959503592423253
1000-1499,D50,5,0.0016329196603527107
1000-1499,E00,5,0.0016329196603527107
1000-1499,A21,4,0.0013063357282821686
1000-1499,C49,4,0.0013063357282821686
1000-1499,C51,4,0.0013063357282821686
1000-1499,D07,4,0.0013063357282821686
1000-1499,A15,3,9.797517962116264e-4
1000-1499,A80,3,9.797517962116264e-4
1000-1499,B24,3,9.797517962116264e-4
1000-1499,B27,3,9.797517962116264e-4
1000-1499,B52,3,9.797517962116264e-4
1000-1499,D01,3,9.797517962116264e-4
1000-1499,D35,3,9.797517962116264e-4
1000-1499,D37,3,9.797517962116264e-4
1000-1499,D38,3,9.797517962116264e-4
1000-1499,E61,3,9.797517962116264e-4
1000-1499,A05,2,6.531678641410843e-4
1000-1499,A07,2,6.531678641410843e-4
1000-1499,A13,2,6.531678641410843e-4
1000-1499,A22,2,6.531678641410843e-4
1000-1499,A30,2,6.531678641410843e-4
1000-1499,A34,2,6.531678641410843e-4
1000-1499,A50,2,6.531678641410843e-4
1000-1499,A53,2,6.531678641410843e-4
1000-1499,B32,2,6.531678641410843e-4
1000-1499,B82,2,6.531678641410843e-4
1000-1499,C10,2,6.531678641410843e-4
1000-1499,C36,2,6.531678641410843e-4
1000-1499,C39,2,6.531678641410843e-4
1000-1499,C53,2,6.531678641410843e-4
1000-1499,C54,2,6.531678641410843e-4
