EloGroup,ECO,TotalGames,Count_Black_Win,Count_Draw,Count_White_Win,Proportion_Black_Win,Proportion_Draw,Proportion_White_Win
1000-1499,A00,282,162,8,112,0.574468085106383,0.028368794326241134,0.3971631205673759
1000-1499,A01,25,16,1,8,0.64,0.04,0.32
1000-1499,A02,17,5,1,11,0.29411764705882354,0.058823529411764705,0.6470588235294118
1000-1499,A03,10,6,0,4,0.6,0,0.4
1000-1499,A04,39,15,1,23,0.38461538461538464,0.02564102564102564,0.5897435897435898
1000-1499,A05,2,1,0,1,0.5,0,0.5
1000-1499,A06,12,5,0,7,0.4166666666666667,0,0.5833333333333334
1000-1499,A07,2,2,0,0,1,0,0
1000-1499,A09,1,1,0,0,1,0,0
1000-1499,A10,14,6,1,7,0.42857142857142855,0.07142857142857142,0.5
1000-1499,A11,1,1,0,0,1,0,0
1000-1499,A13,2,0,0,2,0,0,1
1000-1499,A15,3,0,0,3,0,0,1
1000-1499,A17,1,1,0,0,1,0,0
1000-1499,A18,1,0,0,1,0,0,1
1000-1499,A20,16,7,0,9,0.4375,0,0.5625
1000-1499,A21,4,2,1,1,0.5,0.25,0.25
1000-1499,A22,2,2,0,0,1,0,0
1000-1499,A25,1,0,0,1,0,0,1
1000-1499,A30,2,1,0,1,0.5,0,0.5
1000-1499,A34,2,1,0,1,0.5,0,0.5
1000-1499,A40,146,76,8,62,0.5205479452054794,0.0547945205479452,0.4246575342465753
1000-1499,A41,24,12,0,12,0.5,0,0.5
1000-1499,A43,13,6,1,6,0.46153846153846156,0.07692307692307693,0.46153846153846156
1000-1499,A44,1,0,0,1,0,0,1
1000-1499,A45,43,21,1,21,0.4883720930232558,0.023255813953488372,0.4883720930232558
1000-1499,A46,15,10,0,5,0.6666666666666666,0,0.3333333333333333
1000-1499,A47,1,1,0,0,1,0,0
1000-1499,A48,7,2,0,5,0.2857142857142857,0,0.7142857142857143
1000-1499,A50,2,0,0,2,0,0,1
1000-1499,A52,1,0,0,1,0,0,1
1000-1499,A53,2,0,0,2,0,0,1
1000-1499,A56,1,1,0,0,1,0,0
1000-1499,A80,3,1,0,2,0.3333333333333333,0,0.6666666666666666
1000-1499,B00,108,46,3,59,0.42592592592592593,0.027777777777777776,0.5462962962962963
1000-1499,B01,109,41,3,65,0.3761467889908257,0.027522935779816515,0.5963302752293578
1000-1499,B02,12,2,0,10,0.16666666666666666,0,0.8333333333333334
1000-1499,B03,1,0,0,1,0,0,1
1000-1499,B04,1,0,0,1,0,0,1
1000-1499,B06,54,22,4,28,0.4074074074074074,0.07407407407407407,0.5185185185185185
1000-1499,B07,98,45,5,48,0.45918367346938777,0.05102040816326531,0.4897959183673469
1000-1499,B08,1,0,0,1,0,0,1
1000-1499,B10,21,13,1,7,0.6190476190476191,0.047619047619047616,0.3333333333333333
1000-1499,B12,12,6,1,5,0.5,0.08333333333333333,0.4166666666666667
1000-1499,B15,1,0,0,1,0,0,1
1000-1499,B18,1,0,0,1,0,0,1
1000-1499,B20,64,33,2,29,0.515625,0.03125,0.453125
1000-1499,B21,9,5,0,4,0.5555555555555556,0,0.4444444444444444
1000-1499,B22,16,6,1,9,0.375,0.0625,0.5625
1000-1499,B23,1,1,0,0,1,0,0
1000-1499,B24,3,1,0,2,0.3333333333333333,0,0.6666666666666666
1000-1499,B27,3,1,0,2,0.3333333333333333,0,0.6666666666666666
1000-1499,B30,20,12,0,8,0.6,0,0.4
1000-1499,B32,2,2,0,0,1,0,0
1000-1499,B33,1,1,0,0,1,0,0
1000-1499,B40,22,11,2,9,0.5,0.09090909090909091,0.4090909090909091
1000-1499,B44,1,1,0,0,1,0,0
1000-1499,B45,1,0,0,1,0,0,1
1000-1499,B46,1,0,0,1,0,0,1
1000-1499,B50,12,2,0,10,0.16666666666666666,0,0.8333333333333334
1000-1499,B51,8,6,1,1,0.75,0.125,0.125
1000-1499,B52,3,3,0,0,1,0,0
1000-1499,B54,1,1,0,0,1,0,0
1000-1499,B82,2,2,0,0,1,0,0
1000-1499,B90,1,0,0,1,0,0,1
1000-1499,C00,113,59,0,54,0.5221238938053098,0,0.4778761061946903
1000-1499,C01,8,3,0,5,0.375,0,0.625
1000-1499,C02,31,17,0,14,0.5483870967741935,0,0.45161290322580644
1000-1499,C10,2,1,0,1,0.5,0,0.5
1000-1499,C11,1,0,1,0,0,1,0
1000-1499,C13,1,1,0,0,1,0,0
1000-1499,C15,1,1,0,0,1,0,0
1000-1499,C20,168,79,6,83,0.47023809523809523,0.03571428571428571,0.49404761904761907
1000-1499,C21,39,19,3,17,0.48717948717948717,0.07692307692307693,0.4358974358974359
1000-1499,C22,14,9,0,5,0.6428571428571429,0,0.35714285714285715
1000-1499,C23,65,22,0,43,0.3384615384615385,0,0.6615384615384615
1000-1499,C24,15,9,0,6,0.6,0,0.4
1000-1499,C25,28,14,0,14,0.5,0,0.5
1000-1499,C26,21,12,1,8,0.5714285714285714,0.047619047619047616,0.38095238095238093
1000-1499,C28,6,3,0,3,0.5,0,0.5
1000-1499,C29,1,0,0,1,0,0,1
1000-1499,C30,37,12,0,25,0.32432432432432434,0,0.6756756756756757
1000-1499,C31,1,1,0,0,1,0,0
1000-1499,C34,15,8,0,7,0.5333333333333333,0,0.4666666666666667
1000-1499,C35,1,0,0,1,0,0,1
1000-1499,C36,2,1,0,1,0.5,0,0.5
1000-1499,C37,1,0,0,1,0,0,1
1000-1499,C39,2,2,0,0,1,0,0
1000-1499,C40,70,41,1,28,0.5857142857142857,0.014285714285714285,0.4
1000-1499,C41,202,109,5,88,0.5396039603960396,0.024752475247524754,0.43564356435643564
1000-1499,C42,53,28,6,19,0.5283018867924528,0.11320754716981132,0.3584905660377358
1000-1499,C43,8,5,0,3,0.625,0,0.375
1000-1499,C44,71,29,3,39,0.4084507042253521,0.04225352112676056,0.5492957746478874
1000-1499,C45,20,9,0,11,0.45,0,0.55
1000-1499,C46,14,8,0,6,0.5714285714285714,0,0.42857142857142855
1000-1499,C47,23,14,0,9,0.6086956521739131,0,0.391304347826087
1000-1499,C48,6,4,0,2,0.6666666666666666,0,0.3333333333333333
1000-1499,C49,4,2,0,2,0.5,0,0.5
1000-1499,C50,79,32,1,46,0.4050632911392405,0.012658227848101266,0.5822784810126582
1000-1499,C51,4,1,0,3,0.25,0,0.75
1000-1499,C53,2,0,0,2,0,0,1
1000-1499,C54,2,1,0,1,0.5,0,0.5
1000-1499,C55,14,3,1,10,0.21428571428571427,0.07142857142857142,0.7142857142857143
1000-1499,C57,11,4,0,7,0.36363636363636365,0,0.6363636363636364
1000-1499,C58,6,2,0,4,0.3333333333333333,0,0.6666666666666666
1000-1499,C60,30,17,2,11,0.5666666666666667,0.06666666666666667,0.36666666666666664
