Event,GameNo,White,Black,WhiteElo,BlackElo,WhiteRD,BlackRD,TimeControl,Date,Time,ECO,PlyCount,Result,Moves,White_Move_1,Black_Move_1,White_Move_2,Black_Move_2,White_Move_3,Black_Move_3,White_Move_4,Black_Move_4,White_Move_5,Black_Move_5,White_Move_6,Black_Move_6,White_Move_7,Black_Move_7,White_Move_8,Black_Move_8,White_Move_9,Black_Move_9,White_Move_10,Black_Move_10,White_Move_11,Black_Move_11,White_Move_12,Black_Move_12,White_Move_13,Black_Move_13,White_Move_14,Black_Move_14,White_Move_15,Black_Move_15,White_Move_16,Black_Move_16,White_Move_17,Black_Move_17,White_Move_18,Black_Move_18,White_Move_19,Black_Move_19,White_Move_20,Black_Move_20,White_Move_21,Black_Move_21,White_Move_22,Black_Move_22,White_Move_23,Black_Move_23,White_Move_24,Black_Move_24,White_Move_25,Black_Move_25,White_Move_26,Black_Move_26,White_Move_27,Black_Move_27,White_Move_28,Black_Move_28,White_Move_29,Black_Move_29,White_Move_30,Black_Move_30,White_Move_31,Black_Move_31,White_Move_32,Black_Move_32,White_Move_33,Black_Move_33,White_Move_34,Black_Move_34,White_Move_35,Black_Move_35,White_Move_36,Black_Move_36,White_Move_37,Black_Move_37,White_Move_38,Black_Move_38,White_Move_39,Black_Move_39,White_Move_40,Black_Move_40,White_Move_41,Black_Move_41,White_Move_42,Black_Move_42,White_Move_43,Black_Move_43,White_Move_44,Black_Move_44,White_Move_45,Black_Move_45,White_Move_46,Black_Move_46,White_Move_47,Black_Move_47,White_Move_48,Black_Move_48,White_Move_49,Black_Move_49,White_Move_50,Black_Move_50,White_Move_51,Black_Move_51,White_Move_52,Black_Move_52,White_Move_53,Black_Move_53,White_Move_54,Black_Move_54,White_Move_55,Black_Move_55,White_Move_56,Black_Move_56,White_Move_57,Black_Move_57,White_Move_58,Black_Move_58,White_Move_59,Black_Move_59,White_Move_60,Black_Move_60,White_Move_61,Black_Move_61,White_Move_62,Black_Move_62,White_Move_63,Black_Move_63,White_Move_64,Black_Move_64,White_Move_65,Black_Move_65,White_Move_66,Black_Move_66,White_Move_67,Black_Move_67,White_Move_68,Black_Move_68,White_Move_69,Black_Move_69,White_Move_70,Black_Move_70,White_Move_71,Black_Move_71,White_Move_72,Black_Move_72,White_Move_73,Black_Move_73,White_Move_74,Black_Move_74,White_Move_75,Black_Move_75,White_Move_76,Black_Move_76,White_Move_77,Black_Move_77,White_Move_78,Black_Move_78,White_Move_79,Black_Move_79,White_Move_80,Black_Move_80,White_Move_81,Black_Move_81,White_Move_82,Black_Move_82,White_Move_83,Black_Move_83,White_Move_84,Black_Move_84,White_Move_85,Black_Move_85,White_Move_86,Black_Move_86,White_Move_87,Black_Move_87,White_Move_88,Black_Move_88,White_Move_89,Black_Move_89,White_Move_90,Black_Move_90,White_Move_91,Black_Move_91,White_Move_92,Black_Move_92,White_Move_93,Black_Move_93,White_Move_94,Black_Move_94,White_Move_95,Black_Move_95,White_Move_96,Black_Move_96,White_Move_97,Black_Move_97,White_Move_98,Black_Move_98,White_Move_99,Black_Move_99,White_Move_100,Black_Move_100,White_Move_101,Black_Move_101,White_Move_102,Black_Move_102,White_Move_103,Black_Move_103,White_Move_104,Black_Move_104,White_Move_105,Black_Move_105,White_Move_106,Black_Move_106,White_Move_107,Black_Move_107,White_Move_108,Black_Move_108,White_Move_109,Black_Move_109,White_Move_110,Black_Move_110,White_Move_111,Black_Move_111,White_Move_112,Black_Move_112,White_Move_113,Black_Move_113,White_Move_114,Black_Move_114,White_Move_115,Black_Move_115,White_Move_116,Black_Move_116,White_Move_117,Black_Move_117,White_Move_118,Black_Move_118,White_Move_119,Black_Move_119,White_Move_120,Black_Move_120,White_Move_121,Black_Move_121,White_Move_122,Black_Move_122,White_Move_123,Black_Move_123,White_Move_124,Black_Move_124,White_Move_125,Black_Move_125,White_Move_126,Black_Move_126,White_Move_127,Black_Move_127,White_Move_128,Black_Move_128,White_Move_129,Black_Move_129,White_Move_130,Black_Move_130,White_Move_131,Black_Move_131,White_Move_132,Black_Move_132,White_Move_133,Black_Move_133,White_Move_134,Black_Move_134,White_Move_135,Black_Move_135,White_Move_136,Black_Move_136,White_Move_137,Black_Move_137,White_Move_138,Black_Move_138
FICS rated standard game,490001897,QVergaEsEsto,blore,1737,1976,0.0,0.0,900+0,2020.12.31,23:53:00,B21,50,0-1,e4 c5 d4 cxd4 Qxd4 Nc6 Qd1 Nf6 Nc3 g6 Bc4 Bg7 Nf3 O-O O-O a6 Bg5 b5 Bd3 Nb4 a3 Nxd3 Qxd3 Bb7 Rae1 Ng4 h3 Ne5 Qd4 Nxf3+ gxf3 Bxd4 e5 Bxc3 bxc3 Bxf3 Rd1 Bxd1 Rxd1 Rc8 h4 Re8 Rd4 Qb6 h5 Rxc3 Rh4 Rxc2 Bh6 Qxf2+,e4,c5,d4,cxd4,Qxd4,Nc6,Qd1,Nf6,Nc3,g6,Bc4,Bg7,Nf3,O-O,O-O,a6,Bg5,b5,Bd3,Nb4,a3,Nxd3,Qxd3,Bb7,Rae1,Ng4,h3,Ne5,Qd4,Nxf3+,gxf3,Bxd4,e5,Bxc3,bxc3,Bxf3,Rd1,Bxd1,Rxd1,Rc8,h4,Re8,Rd4,Qb6,h5,Rxc3,Rh4,Rxc2,Bh6,Qxf2+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,490001887,Bestukmow,SecondQueen,1556,1569,0.0,0.0,960+0,2020.12.31,23:51:00,A02,68,0-1,f4 e6 e3 d5 d4 c5 c3 Bd7 Be2 Qb6 Nf3 Nc6 O-O cxd4 exd4 Nf6 Kh1 Be7 Ne5 O-O Nd2 Nxe5 fxe5 Ne4 Bf3 Nxd2 Qxd2 g6 Qf2 Bb5 Be2 Bxe2 Qxe2 f6 exf6 Bxf6 Bh6 Rf7 Rae1 Re8 b3 Qa5 Bf4 Qxc3 Be5 Qc6 Rxf6 Rxf6 Bxf6 Qd7 Qe5 Qf7 Qg5 h6 Qh4 Qh7 Rf1 Rf8 Kg1 g5 Qg3 Qg6 Qe5 Rf7 Qxe6 Kh7 Be5 Qxe6,f4,e6,e3,d5,d4,c5,c3,Bd7,Be2,Qb6,Nf3,Nc6,O-O,cxd4,exd4,Nf6,Kh1,Be7,Ne5,O-O,Nd2,Nxe5,fxe5,Ne4,Bf3,Nxd2,Qxd2,g6,Qf2,Bb5,Be2,Bxe2,Qxe2,f6,exf6,Bxf6,Bh6,Rf7,Rae1,Re8,b3,Qa5,Bf4,Qxc3,Be5,Qc6,Rxf6,Rxf6,Bxf6,Qd7,Qe5,Qf7,Qg5,h6,Qh4,Qh7,Rf1,Rf8,Kg1,g5,Qg3,Qg6,Qe5,Rf7,Qxe6,Kh7,Be5,Qxe6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,490001867,MRZWISCHENZUG,Jorocco,1675,1703,0.0,0.0,900+10,2020.12.31,23:03:00,B10,121,1/2-1/2,c4 c6 e4 e5 Nf3 Nf6 Nc3 d6 d4 exd4 Nxd4 h6 Be2 Be7 O-O O-O Be3 Nbd7 Nf5 Ne5 Nxe7+ Qxe7 h3 Be6 b3 Rfd8 Qc2 Qd7 Rad1 Bxh3 f4 Neg4 Bxg4 Qxg4 e5 dxe5 Rxd8+ Rxd8 fxe5 Nd7 Qd2 Qg6 Kh2 Be6 Bf4 Qh5+ Kg1 Re8 Qe3 Nb6 Ne4 Qg6 Nd6 Rb8 Rd1 Qc2 Rd2 Qb1+ Kh2 Qg6 Ne4 Qh5+ Kg1 Qg6 Nd6 h5 Ne4 h4 Bg5 h3 g3 Bf5 Nd6 Be6 Kh2 Nd7 Bf4 Nb6 Ne4 Bf5 Ng5 Re8 Rd6 Qh5 Ne4 Bxe4 Qxe4 Qg4 Qe3 f6 e6 Re7 Rd8+ Kh7 Qd3+ g6 Rd6 f5 Rd8 g5 Be5 Rxe6 Rh8+ Kg6 Rg8+ Kf7 Rg7+ Ke8 Rg8+ Kf7 Rg7+ Ke8 Rg8+ Kf7 Rg7+ Ke8 Rg8+ Kf7 Rg7+ Ke8 Rg8+,c4,c6,e4,e5,Nf3,Nf6,Nc3,d6,d4,exd4,Nxd4,h6,Be2,Be7,O-O,O-O,Be3,Nbd7,Nf5,Ne5,Nxe7+,Qxe7,h3,Be6,b3,Rfd8,Qc2,Qd7,Rad1,Bxh3,f4,Neg4,Bxg4,Qxg4,e5,dxe5,Rxd8+,Rxd8,fxe5,Nd7,Qd2,Qg6,Kh2,Be6,Bf4,Qh5+,Kg1,Re8,Qe3,Nb6,Ne4,Qg6,Nd6,Rb8,Rd1,Qc2,Rd2,Qb1+,Kh2,Qg6,Ne4,Qh5+,Kg1,Qg6,Nd6,h5,Ne4,h4,Bg5,h3,g3,Bf5,Nd6,Be6,Kh2,Nd7,Bf4,Nb6,Ne4,Bf5,Ng5,Re8,Rd6,Qh5,Ne4,Bxe4,Qxe4,Qg4,Qe3,f6,e6,Re7,Rd8+,Kh7,Qd3+,g6,Rd6,f5,Rd8,g5,Be5,Rxe6,Rh8+,Kg6,Rg8+,Kf7,Rg7+,Ke8,Rg8+,Kf7,Rg7+,Ke8,Rg8+,Kf7,Rg7+,Ke8,Rg8+,Kf7,Rg7+,Ke8,Rg8+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,490001862,SecondQueen,Bestukmow,1561,1564,0.0,0.0,960+0,2020.12.31,23:46:00,B01,61,1-0,e4 d5 exd5 Qxd5 Nf3 e6 Nc3 Qd8 Be2 c6 O-O Be7 d4 Nf6 Bf4 O-O Qc1 Nd5 Nxd5 Qxd5 c4 Qd8 Rd1 Nd7 d5 exd5 cxd5 Nc5 d6 Bf6 Qxc5 Bxb2 Rab1 Bf6 Be5 Bxe5 Nxe5 Be6 d7 f6 Bc4 Kh8 Bxe6 fxe5 Qxe5 Qe7 Rxb7 Rad8 Rxa7 Qf6 Qxf6 gxf6 Bf5 Rf7 Rc7 Kg7 Be6 Re7 Rc8 Rxe6 Rxd8,e4,d5,exd5,Qxd5,Nf3,e6,Nc3,Qd8,Be2,c6,O-O,Be7,d4,Nf6,Bf4,O-O,Qc1,Nd5,Nxd5,Qxd5,c4,Qd8,Rd1,Nd7,d5,exd5,cxd5,Nc5,d6,Bf6,Qxc5,Bxb2,Rab1,Bf6,Be5,Bxe5,Nxe5,Be6,d7,f6,Bc4,Kh8,Bxe6,fxe5,Qxe5,Qe7,Rxb7,Rad8,Rxa7,Qf6,Qxf6,gxf6,Bf5,Rf7,Rc7,Kg7,Be6,Re7,Rc8,Rxe6,Rxd8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,490001849,PGierech,pertinent,1882,1805,0.0,0.0,900+0,2020.12.31,23:25:00,C24,91,1-0,e4 e5 d4 exd4 Bc4 Nf6 Nf3 Nxe4 Qxd4 Nf6 Bg5 Be7 O-O O-O Nc3 Nc6 Qh4 d5 Bd3 Ne4 Bxe7 Qxe7 Nxd5 Qxh4 Nxh4 Nf6 Nxf6+ gxf6 Rfe1 Ne5 Bf5 Be6 f4 Ng6 Nxg6 hxg6 Bxe6 fxe6 Rxe6 Kf7 Rae1 Rfe8 R6e3 Rxe3 Rxe3 c5 Kf2 b6 c4 Rd8 Ke2 Rd4 b3 Rxf4 g3 Rf5 Re4 Rh5 h4 Re5 Kf3 Ke6 g4 f5 Rxe5+ Kxe5 Kg3 f4+ Kf3 Kd4 Kxf4 Kc3 h5 gxh5 gxh5 Kb2 h6 Kxa2 Ke3 Kxb3 Kd3 a5 h7 a4 h8=Q a3 Qb8 Kb2 Qxb6+ Ka1 Kc2,e4,e5,d4,exd4,Bc4,Nf6,Nf3,Nxe4,Qxd4,Nf6,Bg5,Be7,O-O,O-O,Nc3,Nc6,Qh4,d5,Bd3,Ne4,Bxe7,Qxe7,Nxd5,Qxh4,Nxh4,Nf6,Nxf6+,gxf6,Rfe1,Ne5,Bf5,Be6,f4,Ng6,Nxg6,hxg6,Bxe6,fxe6,Rxe6,Kf7,Rae1,Rfe8,R6e3,Rxe3,Rxe3,c5,Kf2,b6,c4,Rd8,Ke2,Rd4,b3,Rxf4,g3,Rf5,Re4,Rh5,h4,Re5,Kf3,Ke6,g4,f5,Rxe5+,Kxe5,Kg3,f4+,Kf3,Kd4,Kxf4,Kc3,h5,gxh5,gxh5,Kb2,h6,Kxa2,Ke3,Kxb3,Kd3,a5,h7,a4,h8=Q,a3,Qb8,Kb2,Qxb6+,Ka1,Kc2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,490001839,KevinHII,Trindog,1890,1576,0.0,0.0,900+0,2020.12.31,23:29:00,C02,51,1-0,e4 e6 d4 d5 e5 c5 c3 a6 f4 Nc6 Nf3 cxd4 Nxd4 Nge7 Be3 Qb6 b3 Qc7 Bd3 Nxd4 Bxd4 Bd7 O-O Ng6 Nd2 Nxf4 Rxf4 Be7 Qh5 O-O-O Rxf7 Be8 Raf1 g6 Bxg6 Bxf7 Bxf7 h6 Bxe6+ Kb8 Qe2 Qc6 Bg4 Rdf8 Bf3 Rh7 c4 Qg6 Bxd5 Rxf1+ Nxf1,e4,e6,d4,d5,e5,c5,c3,a6,f4,Nc6,Nf3,cxd4,Nxd4,Nge7,Be3,Qb6,b3,Qc7,Bd3,Nxd4,Bxd4,Bd7,O-O,Ng6,Nd2,Nxf4,Rxf4,Be7,Qh5,O-O-O,Rxf7,Be8,Raf1,g6,Bxg6,Bxf7,Bxf7,h6,Bxe6+,Kb8,Qe2,Qc6,Bg4,Rdf8,Bf3,Rh7,c4,Qg6,Bxd5,Rxf1+,Nxf1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,490001834,SecondQueen,Chipotler,1554,1504,0.0,0.0,900+1,2020.12.31,23:23:00,C47,127,1-0,e4 e5 Nc3 Nf6 Nf3 Nc6 d4 d6 dxe5 dxe5 Bd3 Bb4 O-O Bxc3 bxc3 Bg4 Ba3 Qd7 Qe2 O-O-O Qe3 Bxf3 Qxf3 g5 Qxf6 g4 Qh4 h5 Qg3 h4 Qe3 h3 g3 Rhf8 Bb5 f5 Bxf8 Rxf8 exf5 Rxf5 Qe4 a6 Ba4 b5 Bb3 a5 Qxg4 a4 Bg8 b4 Qxh3 bxc3 Qh6 Nd4 Bh7 Rf7 Bg6 Re7 Qf8+ Kb7 Be4+ Kb6 Qf6+ Kc5 Rab1 Nxc2 Bxc2 e4 Qxc3+ Kd6 Qb4+ Ke6 Bxe4 Qd6 Qc4+ Kf6 Qxa4 Qe5 Rb4 c5 Rb6+ Re6 Rxe6+ Qxe6 Bg2 c4 Qc2 Kg5 h4+ Kf6 Be4 Ke7 a4 Qa6 Bh7 Qa5 Qxc4 Kf6 Bg8 Ke5 Qe6+ Kd4 Qd7+ Kc3 Rc1+ Kb2 Qc6 Qd2 Rf1 Qe2 a5 Qe5 a6 Qb8 Bh7 Qb4 Rb1+ Ka3 Rxb4 Kxb4 a7 Kb3 a8=Q Kb2 Qb8+ Ka1 Qca8#,e4,e5,Nc3,Nf6,Nf3,Nc6,d4,d6,dxe5,dxe5,Bd3,Bb4,O-O,Bxc3,bxc3,Bg4,Ba3,Qd7,Qe2,O-O-O,Qe3,Bxf3,Qxf3,g5,Qxf6,g4,Qh4,h5,Qg3,h4,Qe3,h3,g3,Rhf8,Bb5,f5,Bxf8,Rxf8,exf5,Rxf5,Qe4,a6,Ba4,b5,Bb3,a5,Qxg4,a4,Bg8,b4,Qxh3,bxc3,Qh6,Nd4,Bh7,Rf7,Bg6,Re7,Qf8+,Kb7,Be4+,Kb6,Qf6+,Kc5,Rab1,Nxc2,Bxc2,e4,Qxc3+,Kd6,Qb4+,Ke6,Bxe4,Qd6,Qc4+,Kf6,Qxa4,Qe5,Rb4,c5,Rb6+,Re6,Rxe6+,Qxe6,Bg2,c4,Qc2,Kg5,h4+,Kf6,Be4,Ke7,a4,Qa6,Bh7,Qa5,Qxc4,Kf6,Bg8,Ke5,Qe6+,Kd4,Qd7+,Kc3,Rc1+,Kb2,Qc6,Qd2,Rf1,Qe2,a5,Qe5,a6,Qb8,Bh7,Qb4,Rb1+,Ka3,Rxb4,Kxb4,a7,Kb3,a8=Q,Kb2,Qb8+,Ka1,Qca8#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,490001759,Trindog,KevinHII,1580,1888,0.0,0.0,900+0,2020.12.31,23:10:00,D00,92,0-1,d4 d5 e3 f5 Nd2 Nf6 c4 c6 Ngf3 e6 c5 Be7 Ne5 O-O f4 Bd7 Be2 Be8 O-O Nbd7 Ndf3 Ne4 Bd3 Ndf6 Ng5 Bd7 Bxe4 Nxe4 Nxe4 fxe4 Qh5 Be8 Qg4 Rf5 Bd2 Bh5 Qh3 Bf7 g4 Rf6 g5 Rf5 Rf2 Bg6 Rg2 b6 b4 a5 bxa5 bxa5 a4 Qc7 Rg4 Qb7 Qg2 Bh5 Rg3 g6 h4 Rb8 Bxa5 Bd8 Bxd8 Rxd8 a5 Ra8 Qf1 Ra6 Rg2 Rf8 Rb1 Qa8 Rgb2 Rxa5 Rb6 Ra2 Rxc6 Rb8 Re1 Rbb2 Rxe6 Rg2+ Qxg2 Rxg2+ Kxg2 Qa2+ Kf1 Bf3 Nxf3 exf3 e4 Qg2#,d4,d5,e3,f5,Nd2,Nf6,c4,c6,Ngf3,e6,c5,Be7,Ne5,O-O,f4,Bd7,Be2,Be8,O-O,Nbd7,Ndf3,Ne4,Bd3,Ndf6,Ng5,Bd7,Bxe4,Nxe4,Nxe4,fxe4,Qh5,Be8,Qg4,Rf5,Bd2,Bh5,Qh3,Bf7,g4,Rf6,g5,Rf5,Rf2,Bg6,Rg2,b6,b4,a5,bxa5,bxa5,a4,Qc7,Rg4,Qb7,Qg2,Bh5,Rg3,g6,h4,Rb8,Bxa5,Bd8,Bxd8,Rxd8,a5,Ra8,Qf1,Ra6,Rg2,Rf8,Rb1,Qa8,Rgb2,Rxa5,Rb6,Ra2,Rxc6,Rb8,Re1,Rbb2,Rxe6,Rg2+,Qxg2,Rxg2+,Kxg2,Qa2+,Kf1,Bf3,Nxf3,exf3,e4,Qg2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,490001744,PasChat,Lindol,1506,1538,0.0,0.0,900+10,2020.12.31,22:50:00,C00,99,1-0,e4 e6 d3 d5 exd5 Qxd5 Qf3 Qa5+ c3 c6 Be2 Be7 Qg3 g6 Nd2 Nf6 Nb3 Qd8 Qf3 O-O Bg5 e5 h3 Be6 Bxf6 Bxf6 Nc5 Bd5 Qe3 Nd7 Nxb7 Qe7 Na5 Rfd8 c4 Be6 Nxc6 Qd6 Nxd8 Rxd8 a3 a5 Nf3 Nc5 O-O Bf5 Ng5 Nb3 Ne4 Qe7 Nxf6+ Qxf6 Rad1 Nd4 Qd2 Qc6 Qe3 f6 b4 axb4 axb4 Bc8 b5 Qd7 Bf3 h5 Qh6 Qf7 Bd5 Be6 Bxe6 Nxe6 Qe3 Nf4 Qb6 Rxd3 Rxd3 Nxd3 Ra1 Qxc4 Ra8+ Kg7 Ra7+ Kh6 Qe3+ g5 Qb6 Qc1+ Kh2 Qf4+ g3 Qf3 Rf7 Kg6 Rd7 Ne1 Qb7 Qg2+ Qxg2,e4,e6,d3,d5,exd5,Qxd5,Qf3,Qa5+,c3,c6,Be2,Be7,Qg3,g6,Nd2,Nf6,Nb3,Qd8,Qf3,O-O,Bg5,e5,h3,Be6,Bxf6,Bxf6,Nc5,Bd5,Qe3,Nd7,Nxb7,Qe7,Na5,Rfd8,c4,Be6,Nxc6,Qd6,Nxd8,Rxd8,a3,a5,Nf3,Nc5,O-O,Bf5,Ng5,Nb3,Ne4,Qe7,Nxf6+,Qxf6,Rad1,Nd4,Qd2,Qc6,Qe3,f6,b4,axb4,axb4,Bc8,b5,Qd7,Bf3,h5,Qh6,Qf7,Bd5,Be6,Bxe6,Nxe6,Qe3,Nf4,Qb6,Rxd3,Rxd3,Nxd3,Ra1,Qxc4,Ra8+,Kg7,Ra7+,Kh6,Qe3+,g5,Qb6,Qc1+,Kh2,Qf4+,g3,Qf3,Rf7,Kg6,Rd7,Ne1,Qb7,Qg2+,Qxg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,490001694,venugopal,LateQueens,1840,1835,0.0,0.0,900+0,2020.12.31,22:52:00,B01,63,1-0,e4 d5 e5 c5 c3 b6 d4 g6 f4 Bg7 Nf3 e6 Bb5+ Bd7 Bxd7+ Qxd7 Nbd2 Nh6 O-O Nf5 Nb3 c4 g4 cxb3 gxf5 bxa2 fxe6 Qxe6 Rxa2 O-O Ng5 Qf5 Qe2 Nc6 e6 f6 Qb5 fxg5 Qxc6 gxf4 e7 Qg4+ Kf2 Qh4+ Ke2 f3+ Kd1 Rfe8 Qxd5+ Kh8 Rxf3 Qxe7 Re3 Qh4 Rxa7 Rad8 Rxe8+ Rxe8 Be3 Qg4+ Kd2 Qg2+ Qxg2,e4,d5,e5,c5,c3,b6,d4,g6,f4,Bg7,Nf3,e6,Bb5+,Bd7,Bxd7+,Qxd7,Nbd2,Nh6,O-O,Nf5,Nb3,c4,g4,cxb3,gxf5,bxa2,fxe6,Qxe6,Rxa2,O-O,Ng5,Qf5,Qe2,Nc6,e6,f6,Qb5,fxg5,Qxc6,gxf4,e7,Qg4+,Kf2,Qh4+,Ke2,f3+,Kd1,Rfe8,Qxd5+,Kh8,Rxf3,Qxe7,Re3,Qh4,Rxa7,Rad8,Rxe8+,Rxe8,Be3,Qg4+,Kd2,Qg2+,Qxg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
