Event,GameNo,White,Black,WhiteElo,BlackElo,WhiteRD,BlackRD,TimeControl,Date,Time,ECO,PlyCount,Result,Moves,White_Move_1,Black_Move_1,White_Move_2,Black_Move_2,White_Move_3,Black_Move_3,White_Move_4,Black_Move_4,White_Move_5,Black_Move_5,White_Move_6,Black_Move_6,White_Move_7,Black_Move_7,White_Move_8,Black_Move_8,White_Move_9,Black_Move_9,White_Move_10,Black_Move_10,White_Move_11,Black_Move_11,White_Move_12,Black_Move_12,White_Move_13,Black_Move_13,White_Move_14,Black_Move_14,White_Move_15,Black_Move_15,White_Move_16,Black_Move_16,White_Move_17,Black_Move_17,White_Move_18,Black_Move_18,White_Move_19,Black_Move_19,White_Move_20,Black_Move_20,White_Move_21,Black_Move_21,White_Move_22,Black_Move_22,White_Move_23,Black_Move_23,White_Move_24,Black_Move_24,White_Move_25,Black_Move_25,White_Move_26,Black_Move_26,White_Move_27,Black_Move_27,White_Move_28,Black_Move_28,White_Move_29,Black_Move_29,White_Move_30,Black_Move_30,White_Move_31,Black_Move_31,White_Move_32,Black_Move_32,White_Move_33,Black_Move_33,White_Move_34,Black_Move_34,White_Move_35,Black_Move_35,White_Move_36,Black_Move_36,White_Move_37,Black_Move_37,White_Move_38,Black_Move_38,White_Move_39,Black_Move_39,White_Move_40,Black_Move_40,White_Move_41,Black_Move_41,White_Move_42,Black_Move_42,White_Move_43,Black_Move_43,White_Move_44,Black_Move_44,White_Move_45,Black_Move_45,White_Move_46,Black_Move_46,White_Move_47,Black_Move_47,White_Move_48,Black_Move_48,White_Move_49,Black_Move_49,White_Move_50,Black_Move_50,White_Move_51,Black_Move_51,White_Move_52,Black_Move_52,White_Move_53,Black_Move_53,White_Move_54,Black_Move_54,White_Move_55,Black_Move_55,White_Move_56,Black_Move_56,White_Move_57,Black_Move_57,White_Move_58,Black_Move_58,White_Move_59,Black_Move_59,White_Move_60,Black_Move_60,White_Move_61,Black_Move_61,White_Move_62,Black_Move_62,White_Move_63,Black_Move_63,White_Move_64,Black_Move_64,White_Move_65,Black_Move_65,White_Move_66,Black_Move_66,White_Move_67,Black_Move_67,White_Move_68,Black_Move_68,White_Move_69,Black_Move_69,White_Move_70,Black_Move_70,White_Move_71,Black_Move_71,White_Move_72,Black_Move_72,White_Move_73,Black_Move_73,White_Move_74,Black_Move_74,White_Move_75,Black_Move_75,White_Move_76,Black_Move_76,White_Move_77,Black_Move_77,White_Move_78,Black_Move_78,White_Move_79,Black_Move_79,White_Move_80,Black_Move_80,White_Move_81,Black_Move_81,White_Move_82,Black_Move_82,White_Move_83,Black_Move_83,White_Move_84,Black_Move_84,White_Move_85,Black_Move_85,White_Move_86,Black_Move_86,White_Move_87,Black_Move_87,White_Move_88,Black_Move_88,White_Move_89,Black_Move_89,White_Move_90,Black_Move_90,White_Move_91,Black_Move_91,White_Move_92,Black_Move_92,White_Move_93,Black_Move_93,White_Move_94,Black_Move_94,White_Move_95,Black_Move_95,White_Move_96,Black_Move_96,White_Move_97,Black_Move_97,White_Move_98,Black_Move_98,White_Move_99,Black_Move_99,White_Move_100,Black_Move_100,White_Move_101,Black_Move_101,White_Move_102,Black_Move_102,White_Move_103,Black_Move_103,White_Move_104,Black_Move_104,White_Move_105,Black_Move_105,White_Move_106,Black_Move_106,White_Move_107,Black_Move_107,White_Move_108,Black_Move_108,White_Move_109,Black_Move_109,White_Move_110,Black_Move_110,White_Move_111,Black_Move_111,White_Move_112,Black_Move_112,White_Move_113,Black_Move_113,White_Move_114,Black_Move_114,White_Move_115,Black_Move_115,White_Move_116,Black_Move_116,White_Move_117,Black_Move_117,White_Move_118,Black_Move_118,White_Move_119,Black_Move_119,White_Move_120,Black_Move_120,White_Move_121,Black_Move_121,White_Move_122,Black_Move_122,White_Move_123,Black_Move_123,White_Move_124,Black_Move_124,White_Move_125,Black_Move_125,White_Move_126,Black_Move_126,White_Move_127,Black_Move_127,White_Move_128,Black_Move_128,White_Move_129,Black_Move_129,White_Move_130,Black_Move_130,White_Move_131,Black_Move_131,White_Move_132,Black_Move_132,White_Move_133,Black_Move_133,White_Move_134,Black_Move_134,White_Move_135,Black_Move_135,White_Move_136,Black_Move_136,White_Move_137,Black_Move_137,White_Move_138,Black_Move_138,White_Move_139,Black_Move_139,White_Move_140,Black_Move_140,White_Move_141,Black_Move_141,White_Move_142,Black_Move_142,White_Move_143,Black_Move_143,White_Move_144,Black_Move_144,White_Move_145,Black_Move_145,White_Move_146,Black_Move_146,White_Move_147,Black_Move_147,White_Move_148,Black_Move_148,White_Move_149,Black_Move_149,White_Move_150,Black_Move_150,White_Move_151,Black_Move_151,White_Move_152,Black_Move_152,White_Move_153,Black_Move_153,White_Move_154,Black_Move_154,White_Move_155,Black_Move_155
FICS rated standard game,510001273,Sibongile,mmschess,1720,1525,0.0,0.0,900+0,2021.12.31,23:49:00,A04,54,0-1,Nf3 e6 e3 c5 c4 Nf6 Nd4 d5 Ne2 Bd6 cxd5 Nxd5 Nec3 Nxc3 dxc3 O-O Bb5 a6 Bd3 Nc6 O-O Ne5 Na3 Nxd3 Nc2 Nxc1 Rxc1 h6 e4 Qc7 Na3 Bxh2+ Kh1 Bf4 Kg1 Bxc1 Qxc1 Qe7 Rd1 e5 f3 Be6 g3 b5 f4 b4 fxe5 bxa3 bxa3 Bg4 Qb1 Qxe5 Kg2 Bxd1,Nf3,e6,e3,c5,c4,Nf6,Nd4,d5,Ne2,Bd6,cxd5,Nxd5,Nec3,Nxc3,dxc3,O-O,Bb5,a6,Bd3,Nc6,O-O,Ne5,Na3,Nxd3,Nc2,Nxc1,Rxc1,h6,e4,Qc7,Na3,Bxh2+,Kh1,Bf4,Kg1,Bxc1,Qxc1,Qe7,Rd1,e5,f3,Be6,g3,b5,f4,b4,fxe5,bxa3,bxa3,Bg4,Qb1,Qxe5,Kg2,Bxd1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,510001264,RexRegorum,cpotnar,1920,1518,0.0,0.0,1800+0,2021.12.31,23:43:00,C44,65,1-0,e4 e5 Nf3 Nc6 g3 Bc5 Bg2 d6 O-O Bg4 c3 Nge7 d3 Qd7 Nbd2 Bh3 Re1 g5 Nf1 f6 Qb3 O-O-O Be3 Na5 Qc2 Bxe3 Nxe3 h5 b4 Nac6 a4 a5 b5 Na7 c4 b6 Qc3 Kb7 Rec1 g4 Nh4 Bxg2 Kxg2 c5 bxc6+ Nexc6 Nd5 Qe6 Rab1 Nb4 Rxb4 axb4 Qxb4 Nc8 Rb1 Qd7 Nxb6 Qc6 Nd5+ Ka7 Qb8+ Ka6 Nc7+ Ka5 Qb4#,e4,e5,Nf3,Nc6,g3,Bc5,Bg2,d6,O-O,Bg4,c3,Nge7,d3,Qd7,Nbd2,Bh3,Re1,g5,Nf1,f6,Qb3,O-O-O,Be3,Na5,Qc2,Bxe3,Nxe3,h5,b4,Nac6,a4,a5,b5,Na7,c4,b6,Qc3,Kb7,Rec1,g4,Nh4,Bxg2,Kxg2,c5,bxc6+,Nexc6,Nd5,Qe6,Rab1,Nb4,Rxb4,axb4,Qxb4,Nc8,Rb1,Qd7,Nxb6,Qc6,Nd5+,Ka7,Qb8+,Ka6,Nc7+,Ka5,Qb4#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,510001239,Bestukmow,Chekcmate,1613,1683,0.0,0.0,900+0,2021.12.31,23:35:00,A02,84,0-1,f4 e6 e3 d5 d4 Nc6 Ne2 Bd7 Ng1 Nf6 Be2 Be7 Nf3 O-O O-O h6 c3 Nh7 Ne5 Nxe5 fxe5 f5 exf6 Bxf6 Bd3 Ng5 Qe2 Ne4 Nd2 Qc8 Nxe4 dxe4 Bxe4 e5 Bd5+ Kh8 dxe5 Bxe5 Rxf8+ Qxf8 Bd2 Qd6 Bxb7 Rf8 Bf3 Bxh2+ Kh1 Bg3 e4 Qf6 Be3 Qh4+ Kg1 Qh2+ Kf1 a6 Bg1 Qh4 a4 g5 Bd4+ Kh7 Qd3 Qf4 e5+ Bf5 Qe3 Qxe3 Bxe3 Bd3+ Kg1 Kg6 Rd1 Bf5 Bc5 Rf7 e6 Bxe6 Be4+ Bf5 Bxf5+ Rxf5 Bf2 Bxf2+,f4,e6,e3,d5,d4,Nc6,Ne2,Bd7,Ng1,Nf6,Be2,Be7,Nf3,O-O,O-O,h6,c3,Nh7,Ne5,Nxe5,fxe5,f5,exf6,Bxf6,Bd3,Ng5,Qe2,Ne4,Nd2,Qc8,Nxe4,dxe4,Bxe4,e5,Bd5+,Kh8,dxe5,Bxe5,Rxf8+,Qxf8,Bd2,Qd6,Bxb7,Rf8,Bf3,Bxh2+,Kh1,Bg3,e4,Qf6,Be3,Qh4+,Kg1,Qh2+,Kf1,a6,Bg1,Qh4,a4,g5,Bd4+,Kh7,Qd3,Qf4,e5+,Bf5,Qe3,Qxe3,Bxe3,Bd3+,Kg1,Kg6,Rd1,Bf5,Bc5,Rf7,e6,Bxe6,Be4+,Bf5,Bxf5+,Rxf5,Bf2,Bxf2+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,510001237,brzjak,DerrickH,1665,1535,0.0,0.0,900+0,2021.12.31,23:20:00,B01,143,1-0,e4 d5 exd5 Qxd5 Nc3 Qd8 d4 Bf5 Nf3 e6 Bd3 Bg4 h3 Bh5 g4 Bg6 Bxg6 hxg6 Bf4 c6 a3 a5 Qd3 b5 Ne5 Na6 Nxc6 Qb6 Ne5 Qb7 Qxb5+ Qxb5 Nxb5 a4 c4 Be7 O-O Bh4 Kg2 Nf6 f3 Nh7 Bg3 Bd8 Rac1 Ng5 h4 Nh7 c5 Nf8 Rc2 f6 Nc4 Nd7 c6 Nb6 Nxb6 Bxb6 Rd1 O-O d5 exd5 Rxd5 f5 gxf5 gxf5 Nd4 Nc7 Rd7 f4 Bf2 Rf6 Ne2 Ba5 Bd4 Rg6+ Kh3 Ne6 Bc3 Bc7 Bb4 Kh7 Rcd2 Rh8 Be7 Kg8 Nd4 Rg1 Nxe6 Rh1+ Rh2 Rxh2+ Kxh2 Bb8 Rd8+ Kf7 Rxh8 Kxe6 Bb4 Bc7 Kh3 Kf5 Rf8+ Ke6 Kg4 g6 Ra8 Kd5 Rxa4 Kxc6 Ra7 Bb8 Rg7 Kd5 Rxg6 Kc4 Bd2 Kb3 Bc3 Kc4 h5 Ba7 h6 Be3 h7 Kd3 h8=Q Ke2 Qh2+ Kd3 Rd6+ Kc4 Qe2+ Kb3 Qb5+ Kc2 Qa4+ Kb1 Qb3 Ka1 Rd1+ Bc1 Rxc1#,e4,d5,exd5,Qxd5,Nc3,Qd8,d4,Bf5,Nf3,e6,Bd3,Bg4,h3,Bh5,g4,Bg6,Bxg6,hxg6,Bf4,c6,a3,a5,Qd3,b5,Ne5,Na6,Nxc6,Qb6,Ne5,Qb7,Qxb5+,Qxb5,Nxb5,a4,c4,Be7,O-O,Bh4,Kg2,Nf6,f3,Nh7,Bg3,Bd8,Rac1,Ng5,h4,Nh7,c5,Nf8,Rc2,f6,Nc4,Nd7,c6,Nb6,Nxb6,Bxb6,Rd1,O-O,d5,exd5,Rxd5,f5,gxf5,gxf5,Nd4,Nc7,Rd7,f4,Bf2,Rf6,Ne2,Ba5,Bd4,Rg6+,Kh3,Ne6,Bc3,Bc7,Bb4,Kh7,Rcd2,Rh8,Be7,Kg8,Nd4,Rg1,Nxe6,Rh1+,Rh2,Rxh2+,Kxh2,Bb8,Rd8+,Kf7,Rxh8,Kxe6,Bb4,Bc7,Kh3,Kf5,Rf8+,Ke6,Kg4,g6,Ra8,Kd5,Rxa4,Kxc6,Ra7,Bb8,Rg7,Kd5,Rxg6,Kc4,Bd2,Kb3,Bc3,Kc4,h5,Ba7,h6,Be3,h7,Kd3,h8=Q,Ke2,Qh2+,Kd3,Rd6+,Kc4,Qe2+,Kb3,Qb5+,Kc2,Qa4+,Kb1,Qb3,Ka1,Rd1+,Bc1,Rxc1#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,510001236,cpotnar,RexRegorum,1519,1919,0.0,0.0,1800+0,2021.12.31,23:37:00,C23,64,0-1,e4 e5 Bc4 Bc5 d3 Qf6 Nf3 h6 Qe2 Nc6 c3 d6 Bb5 Bd7 Bxc6 Bxc6 Be3 Bb6 Bxb6 axb6 a4 Rxa4 Rxa4 Bxa4 Nbd2 Ne7 b3 Bd7 Nc4 O-O Ne3 Ng6 Nd5 Qd8 O-O Be6 c4 Bxd5 exd5 Nf4 Qe4 Qd7 g3 Ng6 h4 Qh3 Nh2 f5 Qg2 Qxg2+ Kxg2 f4 Nf3 fxg3 fxg3 Ne7 h5 Nf5 Nh4 Ne3+ Kh3 Rxf1 Ng6 Rh1#,e4,e5,Bc4,Bc5,d3,Qf6,Nf3,h6,Qe2,Nc6,c3,d6,Bb5,Bd7,Bxc6,Bxc6,Be3,Bb6,Bxb6,axb6,a4,Rxa4,Rxa4,Bxa4,Nbd2,Ne7,b3,Bd7,Nc4,O-O,Ne3,Ng6,Nd5,Qd8,O-O,Be6,c4,Bxd5,exd5,Nf4,Qe4,Qd7,g3,Ng6,h4,Qh3,Nh2,f5,Qg2,Qxg2+,Kxg2,f4,Nf3,fxg3,fxg3,Ne7,h5,Nf5,Nh4,Ne3+,Kh3,Rxf1,Ng6,Rh1#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,510001234,venugopal,lyndonlarouche,1827,1708,0.0,0.0,900+0,2021.12.31,23:35:00,C55,31,1-0,e4 e5 Nf3 Nc6 Bc4 Nf6 c3 d5 exd5 Nxd5 O-O Bg4 Re1 Be7 Qb3 Na5 Qa4+ c6 Nxe5 Be6 Bxd5 Bxd5 d4 O-O Bf4 Bd6 Nd2 Qc7 b4 b5 Qxa5,e4,e5,Nf3,Nc6,Bc4,Nf6,c3,d5,exd5,Nxd5,O-O,Bg4,Re1,Be7,Qb3,Na5,Qa4+,c6,Nxe5,Be6,Bxd5,Bxd5,d4,O-O,Bf4,Bd6,Nd2,Qc7,b4,b5,Qxa5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,510001225,Introspection,Koff,1778,2028,0.0,0.0,900+90,2021.12.31,22:43:00,B00,25,1-0,e4 Nc6 Nf3 d5 exd5 Qxd5 Nc3 Qa5 Bb5 Bd7 d4 O-O-O a4 a6 Bd2 e6 Nd5 Nb4 Nxb4 Bxb4 c3 axb5 axb5 Qxb5 Ra8#,e4,Nc6,Nf3,d5,exd5,Qxd5,Nc3,Qa5,Bb5,Bd7,d4,O-O-O,a4,a6,Bd2,e6,Nd5,Nb4,Nxb4,Bxb4,c3,axb5,axb5,Qxb5,Ra8#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,510001220,RexRegorum,cpotnar,1917,1521,0.0,0.0,1800+0,2021.12.31,23:18:00,A07,105,1-0,Nf3 Nc6 g3 d5 Bg2 e5 d3 Bd6 Nbd2 Be6 e4 d4 O-O Qd7 Re1 Bg4 a3 f5 Nc4 f4 Qe2 g5 Qf1 h6 Nxd6+ Qxd6 h3 Bh5 g4 Bf7 Bd2 a5 c3 b5 Rec1 a4 cxd4 Nxd4 Nxd4 Qxd4 Rxc7 Bb3 Bc3 Qd6 Rg7 Ne7 Rc1 Kf8 Bb4 Qxb4 axb4 Kxg7 Rc5 Ng6 Rxb5 Nh4 Rxe5 Kf6 d4 Rad8 Qa6+ Kf7 d5 f3 Bxf3 Nxf3+ Kg2 Nxe5 Qe6+ Kg7 Qxe5+ Kh7 Qf5+ Kg7 b5 Rhf8 Qe5+ Kg6 Qe6+ Rf6 Qe7 Rdf8 Qc5 Re8 Qd4 Bc2 e5 Rf4 Qb6+ Kf7 e6+ Ke7 Qc7+ Kf6 Qxc2 Ke5 Qc6 Ref8 Qc5 Rxf2+ Qxf2 Rxf2+ Kxf2 Kxd5 e7,Nf3,Nc6,g3,d5,Bg2,e5,d3,Bd6,Nbd2,Be6,e4,d4,O-O,Qd7,Re1,Bg4,a3,f5,Nc4,f4,Qe2,g5,Qf1,h6,Nxd6+,Qxd6,h3,Bh5,g4,Bf7,Bd2,a5,c3,b5,Rec1,a4,cxd4,Nxd4,Nxd4,Qxd4,Rxc7,Bb3,Bc3,Qd6,Rg7,Ne7,Rc1,Kf8,Bb4,Qxb4,axb4,Kxg7,Rc5,Ng6,Rxb5,Nh4,Rxe5,Kf6,d4,Rad8,Qa6+,Kf7,d5,f3,Bxf3,Nxf3+,Kg2,Nxe5,Qe6+,Kg7,Qxe5+,Kh7,Qf5+,Kg7,b5,Rhf8,Qe5+,Kg6,Qe6+,Rf6,Qe7,Rdf8,Qc5,Re8,Qd4,Bc2,e5,Rf4,Qb6+,Kf7,e6+,Ke7,Qc7+,Kf6,Qxc2,Ke5,Qc6,Ref8,Qc5,Rxf2+,Qxf2,Rxf2+,Kxf2,Kxd5,e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,510001217,yurchie,venugopal,1793,1820,0.0,0.0,900+0,2021.12.31,23:23:00,E90,50,0-1,d4 Nf6 c4 g6 Nf3 d6 Nc3 Nbd7 e4 Bg7 Bd3 O-O h3 b6 Qb3 Bb7 O-O c5 d5 e6 Nb5 Qe7 dxe6 fxe6 Ng5 h6 Nc7 hxg5 Nxa8 Bxa8 Bxg5 Qf7 f3 Nh5 Qa3 Bd4+ Kh2 Nf4 Bc2 Qh7 Qxa7 Bxb2 Rab1 Be5 Kh1 Nxh3 gxh3 Qxh3+ Kg1 Qh2#,d4,Nf6,c4,g6,Nf3,d6,Nc3,Nbd7,e4,Bg7,Bd3,O-O,h3,b6,Qb3,Bb7,O-O,c5,d5,e6,Nb5,Qe7,dxe6,fxe6,Ng5,h6,Nc7,hxg5,Nxa8,Bxa8,Bxg5,Qf7,f3,Nh5,Qa3,Bd4+,Kh2,Nf4,Bc2,Qh7,Qxa7,Bxb2,Rab1,Be5,Kh1,Nxh3,gxh3,Qxh3+,Kg1,Qh2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,510001216,riceball,electricbenj,1725,1760,0.0,0.0,900+10,2021.12.31,23:13:00,A85,63,1-0,d4 f5 c4 Nf6 Nc3 b6 Nf3 e6 e3 Bb7 Bd3 Nc6 a3 Qe7 O-O O-O-O b4 g5 Ne5 Qg7 Qb3 Bd6 Nxc6 Bxc6 c5 Bxh2+ Kxh2 Qh6+ Kg1 Ng4 Re1 Qh2+ Kf1 Qxg2+ Ke2 Qxf2+ Kd1 Bf3+ Ne2 Nxe3+ Bxe3 Bd5 Bxf2 Bxb3+ Kd2 g4 Bg3 h5 Bh4 Rdf8 Ke3 Bd5 Nf4 Rfg8 Rg1 d6 cxd6 cxd6 Nxd5 exd5 Kf4 Kc7 Rac1+,d4,f5,c4,Nf6,Nc3,b6,Nf3,e6,e3,Bb7,Bd3,Nc6,a3,Qe7,O-O,O-O-O,b4,g5,Ne5,Qg7,Qb3,Bd6,Nxc6,Bxc6,c5,Bxh2+,Kxh2,Qh6+,Kg1,Ng4,Re1,Qh2+,Kf1,Qxg2+,Ke2,Qxf2+,Kd1,Bf3+,Ne2,Nxe3+,Bxe3,Bd5,Bxf2,Bxb3+,Kd2,g4,Bg3,h5,Bh4,Rdf8,Ke3,Bd5,Nf4,Rfg8,Rg1,d6,cxd6,cxd6,Nxd5,exd5,Kf4,Kc7,Rac1+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
