Event,GameNo,White,Black,WhiteElo,BlackElo,WhiteRD,BlackRD,TimeControl,Date,Time,ECO,PlyCount,Result,Moves,White_Move_1,Black_Move_1,White_Move_2,Black_Move_2,White_Move_3,Black_Move_3,White_Move_4,Black_Move_4,White_Move_5,Black_Move_5,White_Move_6,Black_Move_6,White_Move_7,Black_Move_7,White_Move_8,Black_Move_8,White_Move_9,Black_Move_9,White_Move_10,Black_Move_10,White_Move_11,Black_Move_11,White_Move_12,Black_Move_12,White_Move_13,Black_Move_13,White_Move_14,Black_Move_14,White_Move_15,Black_Move_15,White_Move_16,Black_Move_16,White_Move_17,Black_Move_17,White_Move_18,Black_Move_18,White_Move_19,Black_Move_19,White_Move_20,Black_Move_20,White_Move_21,Black_Move_21,White_Move_22,Black_Move_22,White_Move_23,Black_Move_23,White_Move_24,Black_Move_24,White_Move_25,Black_Move_25,White_Move_26,Black_Move_26,White_Move_27,Black_Move_27,White_Move_28,Black_Move_28,White_Move_29,Black_Move_29,White_Move_30,Black_Move_30,White_Move_31,Black_Move_31,White_Move_32,Black_Move_32,White_Move_33,Black_Move_33,White_Move_34,Black_Move_34,White_Move_35,Black_Move_35,White_Move_36,Black_Move_36,White_Move_37,Black_Move_37,White_Move_38,Black_Move_38,White_Move_39,Black_Move_39,White_Move_40,Black_Move_40,White_Move_41,Black_Move_41,White_Move_42,Black_Move_42,White_Move_43,Black_Move_43,White_Move_44,Black_Move_44,White_Move_45,Black_Move_45,White_Move_46,Black_Move_46,White_Move_47,Black_Move_47,White_Move_48,Black_Move_48,White_Move_49,Black_Move_49,White_Move_50,Black_Move_50,White_Move_51,Black_Move_51,White_Move_52,Black_Move_52,White_Move_53,Black_Move_53,White_Move_54,Black_Move_54,White_Move_55,Black_Move_55,White_Move_56,Black_Move_56,White_Move_57,Black_Move_57,White_Move_58,Black_Move_58,White_Move_59,Black_Move_59,White_Move_60,Black_Move_60,White_Move_61,Black_Move_61,White_Move_62,Black_Move_62,White_Move_63,Black_Move_63,White_Move_64,Black_Move_64,White_Move_65,Black_Move_65,White_Move_66,Black_Move_66,White_Move_67,Black_Move_67,White_Move_68,Black_Move_68,White_Move_69,Black_Move_69,White_Move_70,Black_Move_70,White_Move_71,Black_Move_71,White_Move_72,Black_Move_72,White_Move_73,Black_Move_73,White_Move_74,Black_Move_74,White_Move_75,Black_Move_75,White_Move_76,Black_Move_76,White_Move_77,Black_Move_77,White_Move_78,Black_Move_78,White_Move_79,Black_Move_79,White_Move_80,Black_Move_80,White_Move_81,Black_Move_81,White_Move_82,Black_Move_82,White_Move_83,Black_Move_83,White_Move_84,Black_Move_84,White_Move_85,Black_Move_85,White_Move_86,Black_Move_86,White_Move_87,Black_Move_87,White_Move_88,Black_Move_88,White_Move_89,Black_Move_89,White_Move_90,Black_Move_90,White_Move_91,Black_Move_91,White_Move_92,Black_Move_92,White_Move_93,Black_Move_93,White_Move_94,Black_Move_94,White_Move_95,Black_Move_95,White_Move_96,Black_Move_96,White_Move_97,Black_Move_97,White_Move_98,Black_Move_98,White_Move_99,Black_Move_99,White_Move_100,Black_Move_100,White_Move_101,Black_Move_101,White_Move_102,Black_Move_102,White_Move_103,Black_Move_103,White_Move_104,Black_Move_104,White_Move_105,Black_Move_105,White_Move_106,Black_Move_106,White_Move_107,Black_Move_107,White_Move_108,Black_Move_108,White_Move_109,Black_Move_109,White_Move_110,Black_Move_110,White_Move_111,Black_Move_111,White_Move_112,Black_Move_112,White_Move_113,Black_Move_113,White_Move_114,Black_Move_114,White_Move_115,Black_Move_115,White_Move_116,Black_Move_116,White_Move_117,Black_Move_117,White_Move_118,Black_Move_118,White_Move_119,Black_Move_119,White_Move_120,Black_Move_120,White_Move_121,Black_Move_121,White_Move_122,Black_Move_122,White_Move_123,Black_Move_123,White_Move_124,Black_Move_124,White_Move_125,Black_Move_125,White_Move_126,Black_Move_126,White_Move_127,Black_Move_127,White_Move_128,Black_Move_128,White_Move_129,Black_Move_129,White_Move_130,Black_Move_130,White_Move_131,Black_Move_131,White_Move_132,Black_Move_132,White_Move_133,Black_Move_133,White_Move_134,Black_Move_134,White_Move_135,Black_Move_135,White_Move_136,Black_Move_136,White_Move_137,Black_Move_137,White_Move_138,Black_Move_138,White_Move_139,Black_Move_139,White_Move_140,Black_Move_140,White_Move_141,Black_Move_141,White_Move_142,Black_Move_142,White_Move_143,Black_Move_143,White_Move_144,Black_Move_144,White_Move_145,Black_Move_145,White_Move_146,Black_Move_146,White_Move_147,Black_Move_147,White_Move_148,Black_Move_148,White_Move_149,Black_Move_149,White_Move_150,Black_Move_150,White_Move_151,Black_Move_151,White_Move_152,Black_Move_152,White_Move_153,Black_Move_153,White_Move_154,Black_Move_154,White_Move_155,Black_Move_155,White_Move_156,Black_Move_156,White_Move_157,Black_Move_157,White_Move_158,Black_Move_158
FICS rated standard game,530000942,NADIMMM,exercion,1514,1662,37.1,44.8,900+10,2022.12.31,23:54:00,B07,29,0-1,e4 d6 d3 Nf6 c4 g6 f4 Bg7 Nc3 O-O h3 Nc6 Nf3 e5 f5 Nd4 Nxd4 exd4 Nb5 c5 g4 a6 Na3 b5 cxb5 axb5 g5 Nd7 f6,e4,d6,d3,Nf6,c4,g6,f4,Bg7,Nc3,O-O,h3,Nc6,Nf3,e5,f5,Nd4,Nxd4,exd4,Nb5,c5,g4,a6,Na3,b5,cxb5,axb5,g5,Nd7,f6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,530000941,Esekla,Ascencion,1667,1422,56.4,32.3,900+0,2022.12.31,23:50:00,A45,52,0-1,d4 Nf6 e3 c5 Bd3 Nc6 c3 Qa5 Nd2 g6 Nc4 Qc7 f4 Bg7 Nf3 O-O O-O b6 e4 Bb7 d5 Nd8 h3 Ne8 e5 Bxd5 Ne3 Bc6 Ng5 f6 exf6 Nxf6 Ng4 Ne6 Qe1 Nxg5 Nxf6+ Bxf6 fxg5 Bg7 Qxe7 Rxf1+ Bxf1 Rf8 Bc4+ Kh8 Qe2 Qg3 Be3 Re8 Bf2 Qxg2#,d4,Nf6,e3,c5,Bd3,Nc6,c3,Qa5,Nd2,g6,Nc4,Qc7,f4,Bg7,Nf3,O-O,O-O,b6,e4,Bb7,d5,Nd8,h3,Ne8,e5,Bxd5,Ne3,Bc6,Ng5,f6,exf6,Nxf6,Ng4,Ne6,Qe1,Nxg5,Nxf6+,Bxf6,fxg5,Bg7,Qxe7,Rxf1+,Bxf1,Rf8,Bc4+,Kh8,Qe2,Qg3,Be3,Re8,Bf2,Qxg2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,530000928,Ascencion,Esekla,1425,1663,32.4,56.9,900+0,2022.12.31,23:44:00,B45,46,0-1,e4 c5 Nf3 Nc6 d4 e6 Nc3 cxd4 Nxd4 Qb6 Be3 Qxb2 Ncb5 Nxd4 Nxd4 Bb4+ Ke2 Ne7 Rb1 Qa3 Nb5 Qa5 Nd4 O-O g3 d5 Bg2 dxe4 Bxe4 Nd5 Nb3 Qc7 Qd4 Nc3+ Kd3 e5 Qxb4 Nxb1 Rxb1 a5 Qb5 Rd8+ Ke2 Bd7 Qd5 Bg4+,e4,c5,Nf3,Nc6,d4,e6,Nc3,cxd4,Nxd4,Qb6,Be3,Qxb2,Ncb5,Nxd4,Nxd4,Bb4+,Ke2,Ne7,Rb1,Qa3,Nb5,Qa5,Nd4,O-O,g3,d5,Bg2,dxe4,Bxe4,Nd5,Nb3,Qc7,Qd4,Nc3+,Kd3,e5,Qxb4,Nxb1,Rxb1,a5,Qb5,Rd8+,Ke2,Bd7,Qd5,Bg4+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,530000916,NADIMMM,bartab,1506,1508,37.3,30.4,600+12,2022.12.31,23:44:00,C20,31,1-0,e4 e5 d3 Bc5 c4 Nf6 a3 d5 cxd5 Ng4 Nh3 Qf6 f3 Nf2 Nxf2 Bxf2+ Kxf2 Qh4+ g3 Qe7 h4 Qc5+ Be3 Qb5 b4 O-O d4 Qe8 dxe5 Qe6 dxe6,e4,e5,d3,Bc5,c4,Nf6,a3,d5,cxd5,Ng4,Nh3,Qf6,f3,Nf2,Nxf2,Bxf2+,Kxf2,Qh4+,g3,Qe7,h4,Qc5+,Be3,Qb5,b4,O-O,d4,Qe8,dxe5,Qe6,dxe6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,530000912,Esekla,Ascencion,1679,1412,57.4,32.5,900+0,2022.12.31,23:34:00,A45,116,0-1,d4 Nf6 e3 c5 Bd3 Nc6 c3 Qa5 Nd2 g6 f4 Nd5 Qe2 Bg7 Ngf3 O-O O-O d6 Nb3 Qc7 dxc5 dxc5 Nxc5 Bg4 e4 Nxf4 Bxf4 Qxf4 Nd4 Bxe2 Rxf4 Bxd3 Nxd3 e5 Nxc6 exf4 Ne7+ Kh8 Nxf4 Rfe8 Nfd5 Rad8 Rf1 f5 exf5 g5 f6 Bf8 Nc7 Bxe7 Nxe8 Bc5+ Kh1 Rxe8 f7 Rf8 g4 Kg7 h3 Rxf7 Rxf7+ Kxf7 Kg2 Ke6 Kf3 Ke5 b4 Bb6 a4 Bg1 c4 Kd4 c5 Kc4 Ke4 Kxb4 Kf5 Be3 Kf6 Kxc5 Kg7 b5 axb5 Kxb5 Kxh7 a5 Kg6 a4 Kh5 a3 h4 gxh4 Kxh4 a2 g5 Bxg5+ Kxg5 a1=Q Kf5 Kc5 Ke6 Kd4 Kf6 Ke4+ Ke6 Qa5 Kd6 Qd5+ Ke7 Ke5 Ke8 Qb7 Kf8 Kf6 Ke8 Qe7#,d4,Nf6,e3,c5,Bd3,Nc6,c3,Qa5,Nd2,g6,f4,Nd5,Qe2,Bg7,Ngf3,O-O,O-O,d6,Nb3,Qc7,dxc5,dxc5,Nxc5,Bg4,e4,Nxf4,Bxf4,Qxf4,Nd4,Bxe2,Rxf4,Bxd3,Nxd3,e5,Nxc6,exf4,Ne7+,Kh8,Nxf4,Rfe8,Nfd5,Rad8,Rf1,f5,exf5,g5,f6,Bf8,Nc7,Bxe7,Nxe8,Bc5+,Kh1,Rxe8,f7,Rf8,g4,Kg7,h3,Rxf7,Rxf7+,Kxf7,Kg2,Ke6,Kf3,Ke5,b4,Bb6,a4,Bg1,c4,Kd4,c5,Kc4,Ke4,Kxb4,Kf5,Be3,Kf6,Kxc5,Kg7,b5,axb5,Kxb5,Kxh7,a5,Kg6,a4,Kh5,a3,h4,gxh4,Kxh4,a2,g5,Bxg5+,Kxg5,a1=Q,Kf5,Kc5,Ke6,Kd4,Kf6,Ke4+,Ke6,Qa5,Kd6,Qd5+,Ke7,Ke5,Ke8,Qb7,Kf8,Kf6,Ke8,Qe7#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,530000897,FredGambit,Sandevil,1792,1762,26.6,45.7,900+0,2022.12.31,23:17:00,C44,89,1/2-1/2,e4 e5 Nf3 d6 d4 Nc6 c3 Bg4 Be2 Be7 Be3 exd4 cxd4 Nf6 Nbd2 Bxf3 Bxf3 O-O O-O Nd7 Nb3 Bg5 Qd2 Bxe3 fxe3 Qh4 Rac1 Nf6 Qd3 Rae8 Nd2 Ng4 Bxg4 Qxg4 Rf4 Qg6 a3 d5 Qb1 dxe4 Nxe4 f5 Nc5 Rxe3 Nxb7 Qe6 Nc5 Qd5 Rcf1 g6 Qc1 Re2 R1f2 Rxf2 Rxf2 Qxd4 Ne6 Qb6 Nxf8 Kxf8 Qd2 Nd4 Kh1 c5 b4 c4 Rf4 Nb3 Qf2 Qc7 g4 Kg7 gxf5 c3 f6+ Kf7 Qf3 c2 Qd5+ Kf8 Qa8+ Kf7 Qd5+ Kf8 Qa8+ Kf7 Qd5+ Kf8 Qa8+,e4,e5,Nf3,d6,d4,Nc6,c3,Bg4,Be2,Be7,Be3,exd4,cxd4,Nf6,Nbd2,Bxf3,Bxf3,O-O,O-O,Nd7,Nb3,Bg5,Qd2,Bxe3,fxe3,Qh4,Rac1,Nf6,Qd3,Rae8,Nd2,Ng4,Bxg4,Qxg4,Rf4,Qg6,a3,d5,Qb1,dxe4,Nxe4,f5,Nc5,Rxe3,Nxb7,Qe6,Nc5,Qd5,Rcf1,g6,Qc1,Re2,R1f2,Rxf2,Rxf2,Qxd4,Ne6,Qb6,Nxf8,Kxf8,Qd2,Nd4,Kh1,c5,b4,c4,Rf4,Nb3,Qf2,Qc7,g4,Kg7,gxf5,c3,f6+,Kf7,Qf3,c2,Qd5+,Kf8,Qa8+,Kf7,Qd5+,Kf8,Qa8+,Kf7,Qd5+,Kf8,Qa8+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,530000895,Bestukmow,hecklepeckle,1604,1721,33.5,31.8,900+0,2022.12.31,23:17:00,A03,124,0-1,f4 d5 d4 Nf6 e3 a6 Be2 Bf5 Nf3 h6 O-O Nc6 a3 e6 Nbd2 Be7 Ne5 Nxe5 fxe5 Be4 Bf3 Bxf3 Nxf3 Ne4 Nd2 Nf6 Qf3 O-O c3 c6 e4 dxe4 Nxe4 Nd5 Qg4 Kh7 Qh5 f5 exf6 Nxf6 Nxf6+ Rxf6 Rxf6 Bxf6 Qg4 Qd5 Bf4 Rf8 Re1 Qf5 Qf3 Qd5 Qe2 Re8 Qd3+ Kh8 Qg6 Rf8 Be5 Bxe5 Rxe5 Qb3 Qb1 Rf5 h3 Rxe5 dxe5 Qd5 Qe1 b5 Qe2 c5 Kh2 c4 Kh1 Qd3 Qg4 Qd5 Qf4 Kh7 Kh2 Qd3 Qf7 Qf5 Qxf5+ exf5 e6 Kg8 e7 Kf7 Kg3 Kxe7 Kf4 Ke6 g4 g5+ Kf3 Ke5 gxf5 Kxf5 h4 g4+ Kg3 h5 Kg2 Kf4 Kf2 g3+ Kg2 Kg4 Kg1 Kxh4 Kg2 Kg4 Kg1 Kf3 Kf1 h4 Kg1 h3 Kh1 Ke3 Kg1 Kd2,f4,d5,d4,Nf6,e3,a6,Be2,Bf5,Nf3,h6,O-O,Nc6,a3,e6,Nbd2,Be7,Ne5,Nxe5,fxe5,Be4,Bf3,Bxf3,Nxf3,Ne4,Nd2,Nf6,Qf3,O-O,c3,c6,e4,dxe4,Nxe4,Nd5,Qg4,Kh7,Qh5,f5,exf6,Nxf6,Nxf6+,Rxf6,Rxf6,Bxf6,Qg4,Qd5,Bf4,Rf8,Re1,Qf5,Qf3,Qd5,Qe2,Re8,Qd3+,Kh8,Qg6,Rf8,Be5,Bxe5,Rxe5,Qb3,Qb1,Rf5,h3,Rxe5,dxe5,Qd5,Qe1,b5,Qe2,c5,Kh2,c4,Kh1,Qd3,Qg4,Qd5,Qf4,Kh7,Kh2,Qd3,Qf7,Qf5,Qxf5+,exf5,e6,Kg8,e7,Kf7,Kg3,Kxe7,Kf4,Ke6,g4,g5+,Kf3,Ke5,gxf5,Kxf5,h4,g4+,Kg3,h5,Kg2,Kf4,Kf2,g3+,Kg2,Kg4,Kg1,Kxh4,Kg2,Kg4,Kg1,Kf3,Kf1,h4,Kg1,h3,Kh1,Ke3,Kg1,Kd2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,530000892,Ascencion,Esekla,1415,1675,32.6,57.8,900+0,2022.12.31,23:28:00,B32,42,0-1,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Qb6 Be3 Qxb2 Nd2 Nxd4 Nc4 Nxc2+ Kd2 Nxe3+ Kxe3 Qc3+ Kf4 d6 Rc1 e5+ Kg5 Be7+ Kh5 Nf6+ Kg5 Nxe4+ Kh5 g6+ Kh6 Bg5+ Kg7 Bxc1 Kxh8 Nxf2 Qf3 Qxf3 gxf3 Nxh1 Nxd6+ Ke7,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,Qb6,Be3,Qxb2,Nd2,Nxd4,Nc4,Nxc2+,Kd2,Nxe3+,Kxe3,Qc3+,Kf4,d6,Rc1,e5+,Kg5,Be7+,Kh5,Nf6+,Kg5,Nxe4+,Kh5,g6+,Kh6,Bg5+,Kg7,Bxc1,Kxh8,Nxf2,Qf3,Qxf3,gxf3,Nxh1,Nxd6+,Ke7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,530000879,Esekla,Ascencion,1671,1418,58.3,32.7,900+0,2022.12.31,23:21:00,A45,31,1-0,d4 Nf6 e3 c5 Bd3 Nc6 c3 Qa5 Nd2 d5 f4 Bg4 Ngf3 Qc7 O-O O-O-O a4 g6 h3 Be6 Ne5 Nxe5 fxe5 Ne4 Nxe4 dxe4 Bxe4 Bd5 Bxd5 Rxd5 Qf3,d4,Nf6,e3,c5,Bd3,Nc6,c3,Qa5,Nd2,d5,f4,Bg4,Ngf3,Qc7,O-O,O-O-O,a4,g6,h3,Be6,Ne5,Nxe5,fxe5,Ne4,Nxe4,dxe4,Bxe4,Bd5,Bxd5,Rxd5,Qf3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,530000867,venugopal,blore,1899,1995,29.4,20.2,900+0,2022.12.31,23:07:00,B50,86,0-1,e4 c5 Nf3 d6 Bc4 e6 c3 a6 d4 b5 Bb3 Nd7 Bf4 cxd4 cxd4 Bb7 Nbd2 Ngf6 e5 Nd5 Bg3 dxe5 dxe5 g6 O-O Bg7 Ne4 O-O Bxd5 Bxd5 Nd6 Bxf3 Qxf3 Bxe5 Rad1 Bxg3 fxg3 Qe7 Ne4 f5 Nd6 Ne5 Qc3 Nc4 Qb4 Nxd6 Qxd6 Qxd6 Rxd6 Rfe8 Re1 e5 Kf2 Kf7 Red1 Re7 h3 Raa7 g4 Re6 Rd8 Rc7 Kg3 f4+ Kh4 h6 Rh8 Kg7 Rdd8 e4 Rdg8+ Kf6 Rxh6 Rg7 g5+ Kf7 Ra8 e3 Ra7+ Re7 Rxa6 e2 Rf6+ Ke8 Rd6 e1=Q+,e4,c5,Nf3,d6,Bc4,e6,c3,a6,d4,b5,Bb3,Nd7,Bf4,cxd4,cxd4,Bb7,Nbd2,Ngf6,e5,Nd5,Bg3,dxe5,dxe5,g6,O-O,Bg7,Ne4,O-O,Bxd5,Bxd5,Nd6,Bxf3,Qxf3,Bxe5,Rad1,Bxg3,fxg3,Qe7,Ne4,f5,Nd6,Ne5,Qc3,Nc4,Qb4,Nxd6,Qxd6,Qxd6,Rxd6,Rfe8,Re1,e5,Kf2,Kf7,Red1,Re7,h3,Raa7,g4,Re6,Rd8,Rc7,Kg3,f4+,Kh4,h6,Rh8,Kg7,Rdd8,e4,Rdg8+,Kf6,Rxh6,Rg7,g5+,Kf7,Ra8,e3,Ra7+,Re7,Rxa6,e2,Rf6+,Ke8,Rd6,e1=Q+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
