Event,GameNo,White,Black,WhiteElo,BlackElo,WhiteRD,BlackRD,TimeControl,Date,Time,ECO,PlyCount,Result,Moves,White_Move_1,Black_Move_1,White_Move_2,Black_Move_2,White_Move_3,Black_Move_3,White_Move_4,Black_Move_4,White_Move_5,Black_Move_5,White_Move_6,Black_Move_6,White_Move_7,Black_Move_7,White_Move_8,Black_Move_8,White_Move_9,Black_Move_9,White_Move_10,Black_Move_10,White_Move_11,Black_Move_11,White_Move_12,Black_Move_12,White_Move_13,Black_Move_13,White_Move_14,Black_Move_14,White_Move_15,Black_Move_15,White_Move_16,Black_Move_16,White_Move_17,Black_Move_17,White_Move_18,Black_Move_18,White_Move_19,Black_Move_19,White_Move_20,Black_Move_20,White_Move_21,Black_Move_21,White_Move_22,Black_Move_22,White_Move_23,Black_Move_23,White_Move_24,Black_Move_24,White_Move_25,Black_Move_25,White_Move_26,Black_Move_26,White_Move_27,Black_Move_27,White_Move_28,Black_Move_28,White_Move_29,Black_Move_29,White_Move_30,Black_Move_30,White_Move_31,Black_Move_31,White_Move_32,Black_Move_32,White_Move_33,Black_Move_33,White_Move_34,Black_Move_34,White_Move_35,Black_Move_35,White_Move_36,Black_Move_36,White_Move_37,Black_Move_37,White_Move_38,Black_Move_38,White_Move_39,Black_Move_39,White_Move_40,Black_Move_40,White_Move_41,Black_Move_41,White_Move_42,Black_Move_42,White_Move_43,Black_Move_43,White_Move_44,Black_Move_44,White_Move_45,Black_Move_45,White_Move_46,Black_Move_46,White_Move_47,Black_Move_47,White_Move_48,Black_Move_48,White_Move_49,Black_Move_49,White_Move_50,Black_Move_50,White_Move_51,Black_Move_51,White_Move_52,Black_Move_52,White_Move_53,Black_Move_53,White_Move_54,Black_Move_54,White_Move_55,Black_Move_55,White_Move_56,Black_Move_56,White_Move_57,Black_Move_57,White_Move_58,Black_Move_58,White_Move_59,Black_Move_59,White_Move_60,Black_Move_60,White_Move_61,Black_Move_61,White_Move_62,Black_Move_62,White_Move_63,Black_Move_63,White_Move_64,Black_Move_64,White_Move_65,Black_Move_65,White_Move_66,Black_Move_66,White_Move_67,Black_Move_67,White_Move_68,Black_Move_68,White_Move_69,Black_Move_69,White_Move_70,Black_Move_70,White_Move_71,Black_Move_71,White_Move_72,Black_Move_72,White_Move_73,Black_Move_73,White_Move_74,Black_Move_74,White_Move_75,Black_Move_75,White_Move_76,Black_Move_76,White_Move_77,Black_Move_77,White_Move_78,Black_Move_78,White_Move_79,Black_Move_79,White_Move_80,Black_Move_80,White_Move_81,Black_Move_81,White_Move_82,Black_Move_82,White_Move_83,Black_Move_83,White_Move_84,Black_Move_84,White_Move_85,Black_Move_85,White_Move_86,Black_Move_86,White_Move_87,Black_Move_87,White_Move_88,Black_Move_88,White_Move_89,Black_Move_89,White_Move_90,Black_Move_90,White_Move_91,Black_Move_91,White_Move_92,Black_Move_92,White_Move_93,Black_Move_93,White_Move_94,Black_Move_94,White_Move_95,Black_Move_95,White_Move_96,Black_Move_96,White_Move_97,Black_Move_97,White_Move_98,Black_Move_98,White_Move_99,Black_Move_99,White_Move_100,Black_Move_100,White_Move_101,Black_Move_101,White_Move_102,Black_Move_102,White_Move_103,Black_Move_103,White_Move_104,Black_Move_104,White_Move_105,Black_Move_105,White_Move_106,Black_Move_106,White_Move_107,Black_Move_107,White_Move_108,Black_Move_108,White_Move_109,Black_Move_109,White_Move_110,Black_Move_110,White_Move_111,Black_Move_111,White_Move_112,Black_Move_112,White_Move_113,Black_Move_113,White_Move_114,Black_Move_114,White_Move_115,Black_Move_115,White_Move_116,Black_Move_116,White_Move_117,Black_Move_117,White_Move_118,Black_Move_118,White_Move_119,Black_Move_119,White_Move_120,Black_Move_120,White_Move_121,Black_Move_121,White_Move_122,Black_Move_122,White_Move_123,Black_Move_123,White_Move_124,Black_Move_124,White_Move_125,Black_Move_125,White_Move_126,Black_Move_126,White_Move_127,Black_Move_127,White_Move_128,Black_Move_128,White_Move_129,Black_Move_129,White_Move_130,Black_Move_130,White_Move_131,Black_Move_131,White_Move_132,Black_Move_132,White_Move_133,Black_Move_133,White_Move_134,Black_Move_134,White_Move_135,Black_Move_135,White_Move_136,Black_Move_136,White_Move_137,Black_Move_137,White_Move_138,Black_Move_138,White_Move_139,Black_Move_139,White_Move_140,Black_Move_140,White_Move_141,Black_Move_141,White_Move_142,Black_Move_142,White_Move_143,Black_Move_143,White_Move_144,Black_Move_144,White_Move_145,Black_Move_145,White_Move_146,Black_Move_146,White_Move_147,Black_Move_147,White_Move_148,Black_Move_148,White_Move_149,Black_Move_149,White_Move_150,Black_Move_150,White_Move_151,Black_Move_151,White_Move_152,Black_Move_152,White_Move_153,Black_Move_153,White_Move_154,Black_Move_154,White_Move_155,Black_Move_155,White_Move_156,Black_Move_156,White_Move_157,Black_Move_157,White_Move_158,Black_Move_158,White_Move_159,Black_Move_159,White_Move_160,Black_Move_160,White_Move_161,Black_Move_161,White_Move_162,Black_Move_162,White_Move_163,Black_Move_163,White_Move_164,Black_Move_164,White_Move_165,Black_Move_165,White_Move_166,Black_Move_166,White_Move_167,Black_Move_167
FICS rated standard game,700000742,jyothit,circum,1613,1553,32.4,31.8,900+0,2023.12.31,23:36:00,C00,85,1-0,e4 e6 Nc3 Ne7 Bc4 c6 d3 Ng6 Nf3 Be7 O-O O-O Re1 b5 Bb3 a5 a3 a4 Ba2 d5 h3 d4 Ne2 e5 Ng3 Be6 Bd2 Nf4 Nxe5 Bd6 Bxf4 Bxa2 Rxa2 Qe8 Qh5 f6 Qxe8 Rxe8 Nxc6 Bxf4 Nxd4 Re5 Nge2 Bh6 Nc3 Bd2 Re2 Bxc3 bxc3 Nd7 Rb2 g6 Rxb5 Rxb5 Nxb5 Ne5 c4 g5 c5 Rb8 Nd6 Rb2 d4 Nc6 Rd2 Kg7 d5 Ne5 c6 Rb6 Nf5+ Kg6 Ne7+ Kf7 d6 Nxc6 Nxc6 Rxc6 d7 Re6 d8=Q Re8 Qd7+ Re7 Qxa4,e4,e6,Nc3,Ne7,Bc4,c6,d3,Ng6,Nf3,Be7,O-O,O-O,Re1,b5,Bb3,a5,a3,a4,Ba2,d5,h3,d4,Ne2,e5,Ng3,Be6,Bd2,Nf4,Nxe5,Bd6,Bxf4,Bxa2,Rxa2,Qe8,Qh5,f6,Qxe8,Rxe8,Nxc6,Bxf4,Nxd4,Re5,Nge2,Bh6,Nc3,Bd2,Re2,Bxc3,bxc3,Nd7,Rb2,g6,Rxb5,Rxb5,Nxb5,Ne5,c4,g5,c5,Rb8,Nd6,Rb2,d4,Nc6,Rd2,Kg7,d5,Ne5,c6,Rb6,Nf5+,Kg6,Ne7+,Kf7,d6,Nxc6,Nxc6,Rxc6,d7,Re6,d8=Q,Re8,Qd7+,Re7,Qxa4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,700000732,bartab,ChessKhiladi,1530,1693,32.1,42.0,600+12,2023.12.31,23:32:00,B50,60,0-1,e4 c5 Nf3 d6 Bc4 Nc6 Ng5 Nh6 d4 cxd4 b4 b5 Bb3 g6 e5 dxe5 Ne4 Bg7 Qf3 O-O Na3 Rb8 Bd2 a6 O-O-O Bb7 Qh3 Nf5 g4 Nxb4 Bxb4 Bxe4 gxf5 Bxf5 Qg3 e4 Nb1 Rc8 Nd2 d3 c3 a5 Ba3 Bxc3 Kb1 a4 Bxf7+ Rxf7 Nf1 b4 Bc1 b3 axb3 axb3 Ne3 Qa5 Bb2 Qa2+ Kc1 Qxb2#,e4,c5,Nf3,d6,Bc4,Nc6,Ng5,Nh6,d4,cxd4,b4,b5,Bb3,g6,e5,dxe5,Ne4,Bg7,Qf3,O-O,Na3,Rb8,Bd2,a6,O-O-O,Bb7,Qh3,Nf5,g4,Nxb4,Bxb4,Bxe4,gxf5,Bxf5,Qg3,e4,Nb1,Rc8,Nd2,d3,c3,a5,Ba3,Bxc3,Kb1,a4,Bxf7+,Rxf7,Nf1,b4,Bc1,b3,axb3,axb3,Ne3,Qa5,Bb2,Qa2+,Kc1,Qxb2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,700000697,blore,DonTBeadick,1954,1638,24.0,37.1,900+0,2023.12.31,23:08:00,D20,167,1/2-1/2,d4 d5 c4 dxc4 e3 Bf5 Bxc4 e6 Qf3 Nc6 Nc3 Bb4 Ne2 Nf6 h3 Bg6 O-O a6 a3 Be7 Rd1 O-O Nf4 Qd7 Bd2 Bd6 Be1 Bxf4 Qxf4 Qd6 Qf3 Bh5 g4 Bg6 Qg2 Rad8 Bd3 Bxd3 Rxd3 Nd5 Nxd5 exd5 Rc1 Qg6 Rdc3 f5 Rc5 fxg4 Rxd5 Rxd5 Qxd5+ Kh8 hxg4 Qxg4+ Qg2 Qe2 Bc3 Rf6 d5 Rg6 Qxg6 hxg6 dxc6 b6 Re1 Qc4 e4 Qxc6 e5 Qe6 Re3 g5 Rg3 g4 Rd3 Kh7 Re3 Kg6 Kg2 Kf5 Kg3 c5 f3 gxf3 Rxf3+ Ke4 Rf4+ Kd5 Rg4 Qh6 e6 Kxe6 Rxg7 Qe3+ Kh4 Qf2+ Rg3 Kf5 Kh3 Qf1+ Kh2 Qf4 Kg2 Qe4+ Kf2 Qc2+ Kg1 Qd1+ Kf2 Qc2+ Kg1 Kf4 Rg2 Qd1+ Kh2 Qh5+ Kg1 Qh3 Rf2+ Ke3 Bd2+ Kd3 Bc3 Qe3 Kf1 Qh3+ Kg1 Qg3+ Rg2 Qf3 Kh2 Qh5+ Kg1 Qd1+ Kf2 Qe2+ Kg3 Qe3+ Kh4 Qh6+ Kg4 b5 Rg3+ Kc2 Rg2+ Kb3 Rg3 Qg6+ Kh3 Qxg3+ Kxg3 b4 axb4 cxb4 Bg7 a5 Kf2 a4 Ke1 a3 bxa3 bxa3 Kd1 a2 Kc1 a1=Q+ Bxa1,d4,d5,c4,dxc4,e3,Bf5,Bxc4,e6,Qf3,Nc6,Nc3,Bb4,Ne2,Nf6,h3,Bg6,O-O,a6,a3,Be7,Rd1,O-O,Nf4,Qd7,Bd2,Bd6,Be1,Bxf4,Qxf4,Qd6,Qf3,Bh5,g4,Bg6,Qg2,Rad8,Bd3,Bxd3,Rxd3,Nd5,Nxd5,exd5,Rc1,Qg6,Rdc3,f5,Rc5,fxg4,Rxd5,Rxd5,Qxd5+,Kh8,hxg4,Qxg4+,Qg2,Qe2,Bc3,Rf6,d5,Rg6,Qxg6,hxg6,dxc6,b6,Re1,Qc4,e4,Qxc6,e5,Qe6,Re3,g5,Rg3,g4,Rd3,Kh7,Re3,Kg6,Kg2,Kf5,Kg3,c5,f3,gxf3,Rxf3+,Ke4,Rf4+,Kd5,Rg4,Qh6,e6,Kxe6,Rxg7,Qe3+,Kh4,Qf2+,Rg3,Kf5,Kh3,Qf1+,Kh2,Qf4,Kg2,Qe4+,Kf2,Qc2+,Kg1,Qd1+,Kf2,Qc2+,Kg1,Kf4,Rg2,Qd1+,Kh2,Qh5+,Kg1,Qh3,Rf2+,Ke3,Bd2+,Kd3,Bc3,Qe3,Kf1,Qh3+,Kg1,Qg3+,Rg2,Qf3,Kh2,Qh5+,Kg1,Qd1+,Kf2,Qe2+,Kg3,Qe3+,Kh4,Qh6+,Kg4,b5,Rg3+,Kc2,Rg2+,Kb3,Rg3,Qg6+,Kh3,Qxg3+,Kxg3,b4,axb4,cxb4,Bg7,a5,Kf2,a4,Ke1,a3,bxa3,bxa3,Kd1,a2,Kc1,a1=Q+,Bxa1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,700000658,JAMAALB,brzjak,1771,1624,31.9,35.1,1200+0,2023.12.31,22:48:00,A04,69,1-0,Nf3 d6 g3 e5 Bg2 Bd7 d3 Nc6 c4 Nf6 Nc3 a6 d4 Rb8 d5 Na5 Qd3 b6 b4 Nb7 O-O Be7 e4 O-O Bd2 Qc8 Nh4 Bh3 Nf5 Bxf5 exf5 h6 f4 exf4 Rae1 Qd7 Rxf4 Rfe8 Kh1 Bf8 Be3 Re7 Ne4 Nxe4 Bxe4 Rbe8 f6 Re5 Bd4 Rh5 Ref1 Qh3 Bh7+ Kh8 fxg7+ Bxg7 Bxg7+ Kxg7 Rxf7+ Kh8 Rf8+ Rxf8 Rxf8+ Kg7 Rg8+ Kf6 Qg6+ Ke5 Qg7#,Nf3,d6,g3,e5,Bg2,Bd7,d3,Nc6,c4,Nf6,Nc3,a6,d4,Rb8,d5,Na5,Qd3,b6,b4,Nb7,O-O,Be7,e4,O-O,Bd2,Qc8,Nh4,Bh3,Nf5,Bxf5,exf5,h6,f4,exf4,Rae1,Qd7,Rxf4,Rfe8,Kh1,Bf8,Be3,Re7,Ne4,Nxe4,Bxe4,Rbe8,f6,Re5,Bd4,Rh5,Ref1,Qh3,Bh7+,Kh8,fxg7+,Bxg7,Bxg7+,Kxg7,Rxf7+,Kh8,Rf8+,Rxf8,Rxf8+,Kg7,Rg8+,Kf6,Qg6+,Ke5,Qg7#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,700000620,FredGambit,cocoykima,1812,1836,30.5,39.4,900+5,2023.12.31,22:32:00,A04,75,0-1,Nf3 d6 g3 e5 d3 h6 Bg2 g5 Nc3 c6 d4 Bg4 dxe5 Bxf3 Bxf3 dxe5 Bd2 Nd7 Qc1 Ngf6 h4 g4 Bg2 h5 O-O Qc7 Bg5 Be7 Qe3 Nb6 Rad1 Rd8 Rxd8+ Kxd8 Rd1+ Kc8 Qd3 Kb8 Ne4 Rd8 Qxd8+ Bxd8 Bxf6 Bxf6 Nxf6 a6 Nxh5 Qe7 Ng7 f6 Nf5 Qe6 Be4 Qxa2 b3 Qa5 Nh6 Nd5 Bxd5 cxd5 Nxg4 Qd8 Ne3 d4 c3 Qg8 cxd4 e4 Nc4 b5 Nd2 f5 Nf1 Qxb3 d5,Nf3,d6,g3,e5,d3,h6,Bg2,g5,Nc3,c6,d4,Bg4,dxe5,Bxf3,Bxf3,dxe5,Bd2,Nd7,Qc1,Ngf6,h4,g4,Bg2,h5,O-O,Qc7,Bg5,Be7,Qe3,Nb6,Rad1,Rd8,Rxd8+,Kxd8,Rd1+,Kc8,Qd3,Kb8,Ne4,Rd8,Qxd8+,Bxd8,Bxf6,Bxf6,Nxf6,a6,Nxh5,Qe7,Ng7,f6,Nf5,Qe6,Be4,Qxa2,b3,Qa5,Nh6,Nd5,Bxd5,cxd5,Nxg4,Qd8,Ne3,d4,c3,Qg8,cxd4,e4,Nc4,b5,Nd2,f5,Nf1,Qxb3,d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,700000575,JAMAALB,brzjak,1766,1629,32.0,35.3,1200+0,2023.12.31,22:23:00,A04,91,1-0,Nf3 d6 d4 Nc6 e4 e5 d5 Nce7 c4 Nf6 Nc3 Ng6 Be3 a6 Be2 Be7 O-O O-O h3 Bd7 a3 Qc8 b4 Bxh3 gxh3 Qxh3 Nh2 Nh4 Bf3 Nh5 Kh1 Nf4 Rg1 f5 Bxf4 exf4 Bg2 Qxc3 exf5 Rxf5 Qg4 Raf8 Be4 R5f7 Qh5 g6 Rae1 Qf6 Qe2 Nf5 Ng4 Qh4+ Kg2 Qg5 f3 h5 Bxf5 Rxf5 Qxe7 hxg4 Qxg5 Rxg5 Re7 gxf3+ Kf2 Rxg1 Kxg1 Rc8 Kf2 g5 Kxf3 Kf8 Rh7 Kg8 Rh5 Kf7 Rxg5 Kf6 Kxf4 Re8 Rf5+ Kg7 Kg4 Re3 Rf3 Re4+ Rf4 Re3 Rf3 Rc3 Rxc3,Nf3,d6,d4,Nc6,e4,e5,d5,Nce7,c4,Nf6,Nc3,Ng6,Be3,a6,Be2,Be7,O-O,O-O,h3,Bd7,a3,Qc8,b4,Bxh3,gxh3,Qxh3,Nh2,Nh4,Bf3,Nh5,Kh1,Nf4,Rg1,f5,Bxf4,exf4,Bg2,Qxc3,exf5,Rxf5,Qg4,Raf8,Be4,R5f7,Qh5,g6,Rae1,Qf6,Qe2,Nf5,Ng4,Qh4+,Kg2,Qg5,f3,h5,Bxf5,Rxf5,Qxe7,hxg4,Qxg5,Rxg5,Re7,gxf3+,Kf2,Rxg1,Kxg1,Rc8,Kf2,g5,Kxf3,Kf8,Rh7,Kg8,Rh5,Kf7,Rxg5,Kf6,Kxf4,Re8,Rf5+,Kg7,Kg4,Re3,Rf3,Re4+,Rf4,Re3,Rf3,Rc3,Rxc3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,700000573,stewarty,DrPaulsen,1807,1996,27.0,38.8,1200+1,2023.12.31,22:15:00,D02,64,0-1,d4 d5 Bf4 Bf5 Nf3 Nf6 h3 h6 e3 e6 Bd3 Bd6 Ne5 Bxd3 Qxd3 Nbd7 Nxd7 Qxd7 Bxd6 Qxd6 O-O O-O c4 c5 dxc5 Qxc5 cxd5 Nxd5 Nd2 Rfd8 Nb3 Qe7 Qe4 Nf6 Qf3 b6 Rfd1 a5 Rxd8+ Rxd8 Qc6 Qb4 Qc7 Rd7 Qc8+ Kh7 Qc2+ g6 Rc1 e5 Qc6 Kg7 Qc3 Qxc3 bxc3 a4 Na1 Rd2 Nc2 Ne4 f3 Nxc3 Nb4 Ne2+,d4,d5,Bf4,Bf5,Nf3,Nf6,h3,h6,e3,e6,Bd3,Bd6,Ne5,Bxd3,Qxd3,Nbd7,Nxd7,Qxd7,Bxd6,Qxd6,O-O,O-O,c4,c5,dxc5,Qxc5,cxd5,Nxd5,Nd2,Rfd8,Nb3,Qe7,Qe4,Nf6,Qf3,b6,Rfd1,a5,Rxd8+,Rxd8,Qc6,Qb4,Qc7,Rd7,Qc8+,Kh7,Qc2+,g6,Rc1,e5,Qc6,Kg7,Qc3,Qxc3,bxc3,a4,Na1,Rd2,Nc2,Ne4,f3,Nxc3,Nb4,Ne2+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,700000543,anwaltczn,ducetray,1473,1507,77.9,25.5,900+0,2023.12.31,22:21:00,B22,37,1-0,e4 c5 c3 Nc6 d4 e6 Nf3 cxd4 cxd4 Qb6 Bc4 Nf6 Nc3 Bb4 e5 Ne4 Qd3 Nxc3 bxc3 Ba5 O-O h6 Ba3 Qc7 Bd6 Qd8 a4 a6 Rab1 b6 d5 exd5 Bxd5 Bb7 Qf5 f6 Qg6#,e4,c5,c3,Nc6,d4,e6,Nf3,cxd4,cxd4,Qb6,Bc4,Nf6,Nc3,Bb4,e5,Ne4,Qd3,Nxc3,bxc3,Ba5,O-O,h6,Ba3,Qc7,Bd6,Qd8,a4,a6,Rab1,b6,d5,exd5,Bxd5,Bb7,Qf5,f6,Qg6#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,700000537,YVVY,GayanovK,1519,1859,30.6,34.9,900+2,2023.12.31,22:22:00,B13,90,0-1,d4 c6 e4 d5 exd5 cxd5 Bb5+ Nc6 c3 g6 Nf3 e6 Ne5 Ne7 Qa4 Qc7 Bxc6+ Nxc6 Bf4 Bd7 Nxd7 Qxd7 Be5 Rg8 O-O Nxe5 Qxd7+ Nxd7 Nd2 b5 a4 b4 cxb4 Bxb4 Nf3 a5 b3 Ke7 Rac1 Rgc8 Rxc8 Rxc8 Rd1 h6 Rd3 Rc3 Rxc3 Bxc3 Kf1 g5 Ke2 g4 Nh4 Bxd4 f3 gxf3+ Nxf3 Bf6 h4 Nc5 g4 Nxb3 g5 hxg5 hxg5 Nd4+ Nxd4 Bxd4 Kf3 e5 Kg4 Ke6 Kh5 e4 g6 fxg6+ Kxg6 e3 Kg5 e2 Kf4 e1=Q Kg4 Kf6 Kf3 Kf5 Kg2 Kg4 Kh2 Qg1#,d4,c6,e4,d5,exd5,cxd5,Bb5+,Nc6,c3,g6,Nf3,e6,Ne5,Ne7,Qa4,Qc7,Bxc6+,Nxc6,Bf4,Bd7,Nxd7,Qxd7,Be5,Rg8,O-O,Nxe5,Qxd7+,Nxd7,Nd2,b5,a4,b4,cxb4,Bxb4,Nf3,a5,b3,Ke7,Rac1,Rgc8,Rxc8,Rxc8,Rd1,h6,Rd3,Rc3,Rxc3,Bxc3,Kf1,g5,Ke2,g4,Nh4,Bxd4,f3,gxf3+,Nxf3,Bf6,h4,Nc5,g4,Nxb3,g5,hxg5,hxg5,Nd4+,Nxd4,Bxd4,Kf3,e5,Kg4,Ke6,Kh5,e4,g6,fxg6+,Kxg6,e3,Kg5,e2,Kf4,e1=Q,Kg4,Kf6,Kf3,Kf5,Kg2,Kg4,Kh2,Qg1#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICS rated standard game,700000532,JustMicgo,timisrejoicing,1694,1700,46.8,38.0,900+0,2023.12.31,22:14:00,D00,85,1-0,d4 d5 Bf4 Nf6 Nc3 a6 e3 Bd7 Nf3 e6 a3 Be7 Be2 O-O O-O Nc6 h3 b5 Re1 b4 axb4 Bxb4 Bd3 Ne4 Bxe4 dxe4 Nd2 Bxc3 bxc3 f5 Nc4 Rf6 Bg5 h6 Bxf6 Qxf6 Ne5 Be8 Nxc6 Bxc6 c4 a5 d5 exd5 cxd5 Rd8 c4 a4 Qc2 Be8 Qd2 Ra8 Qb4 Ra6 Qb7 Qd6 Qc8 Kf7 Reb1 Rb6 Qxf5+ Kg8 Rxb6 Qxb6 Qxe4 Bd7 Rb1 Qa7 Qc2 a3 Ra1 Kf7 c5 g6 Qb3 g5 d6+ Be6 Qxa3 Qxa3 Rxa3 cxd6 cxd6 Ke8 Ra7,d4,d5,Bf4,Nf6,Nc3,a6,e3,Bd7,Nf3,e6,a3,Be7,Be2,O-O,O-O,Nc6,h3,b5,Re1,b4,axb4,Bxb4,Bd3,Ne4,Bxe4,dxe4,Nd2,Bxc3,bxc3,f5,Nc4,Rf6,Bg5,h6,Bxf6,Qxf6,Ne5,Be8,Nxc6,Bxc6,c4,a5,d5,exd5,cxd5,Rd8,c4,a4,Qc2,Be8,Qd2,Ra8,Qb4,Ra6,Qb7,Qd6,Qc8,Kf7,Reb1,Rb6,Qxf5+,Kg8,Rxb6,Qxb6,Qxe4,Bd7,Rb1,Qa7,Qc2,a3,Ra1,Kf7,c5,g6,Qb3,g5,d6+,Be6,Qxa3,Qxa3,Rxa3,cxd6,cxd6,Ke8,Ra7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
